Date,Open,Close,High,Low,Volume
2002-07-03,8000,8000,8000,8000,144458
2002-07-04,7410,7040,7700,7040,304789
2002-07-05,7040,6900,7140,6540,158356
2002-07-08,6920,6080,7180,6080,159525
2002-07-09,6120,6110,6410,5910,144222
2002-07-10,6100,6190,6350,6100,142753
2002-07-11,6050,5800,6100,5740,86206
2002-07-12,5980,5600,6000,5570,62439
2002-07-15,5550,6270,6270,5500,160764
2002-07-16,6180,5550,6240,5550,95730
2002-07-18,5700,5600,6170,5500,60328
2002-07-19,5700,5200,5700,5020,40040
2002-07-22,4630,4750,4970,4630,33581
2002-07-23,4630,4820,5100,4630,20508
2002-07-24,4900,4750,4900,4650,22257
2002-07-25,5000,4800,5000,4760,22517
2002-07-26,4730,4590,4730,4570,62068
2002-07-29,4680,4560,4680,4560,31944
2002-07-30,4640,4610,4730,4560,73578
2002-07-31,4710,4570,4760,4570,86114
2002-08-01,4600,4560,4600,4560,104348
2002-08-02,4560,4560,4580,4560,108874
2002-08-05,4230,4020,4500,4020,68580
2002-08-06,3950,3540,4020,3540,64341
2002-08-07,3610,3660,3760,3590,87398
2002-08-08,3710,3800,3900,3620,115311
2002-08-09,3930,3720,3980,3550,123696
2002-08-12,3690,3660,3770,3570,62553
2002-08-13,3600,3680,3840,3600,70864
2002-08-14,3670,3660,3800,3620,64745
2002-08-16,3680,3600,3740,3600,93160
2002-08-19,3640,3530,3640,3430,58891
2002-08-20,3560,3500,3560,3430,35471
2002-08-21,3460,3390,3460,3380,19718
2002-08-22,3430,3500,3540,3390,76094
2002-08-23,3510,3410,3510,3380,44748
2002-08-26,3300,3370,3480,3300,26428
2002-08-27,3330,3450,3450,3310,39860
2002-08-28,3450,3400,3460,3350,19560
2002-08-29,3470,3410,3530,3310,28316
2002-08-30,3380,3310,3440,3310,33344
2002-09-02,3310,3700,3700,3300,194674
2002-09-03,3800,3660,3800,3540,97073
2002-09-04,3660,3750,3950,3600,239583
2002-09-05,3780,3780,3810,3660,83618
2002-09-06,3800,3490,4000,3420,195474
2002-09-09,3320,3080,3550,3080,117154
2002-09-10,3100,3200,3200,2870,96447
2002-09-11,3130,3200,3200,3060,30804
2002-09-12,3010,3020,3130,2970,58957
2002-09-13,2980,2890,2980,2840,22430
2002-09-16,2810,2830,2900,2760,35551
2002-09-17,2850,2900,2930,2810,56348
2002-09-18,2800,2880,2880,2620,61691
2002-09-19,2760,2770,2870,2750,18214
2002-09-23,2680,2620,2750,2500,20711
2002-09-24,2510,2800,2800,2510,38686
2002-09-25,2750,2710,2750,2530,11456
2002-09-26,2720,2700,2800,2600,48902
2002-09-27,2610,2600,2710,2500,17415
2002-09-30,2520,2550,2550,2300,11901
2002-10-01,2300,2390,2520,2290,24806
2002-10-02,2380,2270,2440,2270,30981
2002-10-04,2290,2330,2490,2200,17236
2002-10-07,2230,2290,2300,2180,22619
2002-10-08,2190,2270,2280,2160,36132
2002-10-09,2220,2170,2390,2170,44208
2002-10-10,2070,2170,2220,2000,51114
2002-10-11,2170,2140,2180,2070,35090
2002-10-14,2170,2200,2290,2120,45127
2002-10-15,2150,2210,2210,2140,76346
2002-10-16,2280,2320,2430,2220,156602
2002-10-17,2290,2590,2590,2290,195980
2002-10-18,2650,2590,2750,2530,280780
