Date,Open,Close,High,Low,Volume
2016-07-27,4000,2910,4090,2910,27283167
2016-07-28,2930,2985,3345,2920,12272157
2016-07-29,3080,2900,3130,2885,3603807
2016-08-01,2920,2775,2920,2690,2725272
2016-08-02,2720,2610,2820,2600,1638829
2016-08-03,2600,2655,2780,2520,1986265
2016-08-04,2685,2655,2730,2600,815832
2016-08-05,2660,2555,2710,2555,887362
2016-08-08,2580,2640,2765,2515,2018215
2016-08-09,2650,2555,2700,2555,878245
2016-08-10,2580,2540,2600,2515,625312
2016-08-11,2505,2470,2575,2460,1470817
2016-08-12,2460,2375,2460,2345,1678961
2016-08-16,2385,2310,2415,2310,829374
2016-08-17,2310,2320,2360,2305,410319
2016-08-18,2320,2335,2410,2320,576368
2016-08-19,2340,2330,2385,2310,377060
2016-08-22,2330,2310,2345,2310,244085
2016-08-23,2345,2305,2345,2300,463560
2016-08-24,2325,2420,2440,2305,999682
2016-08-25,2385,2390,2445,2365,360361
2016-08-26,2410,2335,2420,2330,430537
2016-08-29,2200,2125,2210,2095,1651848
2016-08-30,2135,2070,2175,2060,521997
2016-08-31,2090,2000,2100,1985,569837
2016-09-01,1990,2010,2050,1990,331021
2016-09-02,2030,2115,2115,2010,381402
2016-09-05,2095,2120,2140,2075,273980
2016-09-06,2100,2080,2120,2075,276926
2016-09-07,2095,2055,2110,2030,296560
2016-09-08,2070,2020,2075,2010,282340
2016-09-09,2055,2005,2055,2005,221097
2016-09-12,1980,1960,2000,1940,301162
2016-09-13,1970,1970,2035,1950,259408
2016-09-19,1970,2000,2000,1960,161357
2016-09-20,2000,2035,2065,1995,253110
2016-09-21,2080,2095,2120,2055,424461
2016-09-22,2100,2110,2165,2075,395162
2016-09-23,2135,2330,2580,2090,9936466
2016-09-26,2340,2430,2480,2270,4888180
2016-09-27,2435,2350,2475,2310,2287837
2016-09-28,2360,2330,2430,2305,1453320
2016-09-29,2360,2380,2405,2240,1183098
2016-09-30,2390,2305,2390,2270,648876
2016-10-04,2305,2315,2365,2280,545917
2016-10-05,2315,2335,2345,2275,489872
2016-10-06,2375,2405,2470,2355,1931985
2016-10-07,2400,2485,2495,2360,2246388
2016-10-10,2510,2400,2575,2400,2205712
2016-10-11,2410,2330,2435,2290,1182671
2016-10-12,2330,2520,2560,2315,4356356
2016-10-13,2510,2535,2565,2405,1593936
2016-10-14,2550,2480,2600,2480,1258176
2016-10-17,2510,2410,2520,2390,571350
2016-10-18,2405,2420,2475,2390,392026
2016-10-19,2405,2350,2425,2315,576216
2016-10-20,2350,2265,2385,2230,767140
2016-10-21,2230,2250,2305,2215,412092
2016-10-24,2290,2275,2350,2245,507191
2016-10-25,2265,2225,2275,2160,593610
2016-10-26,2195,2165,2225,2090,779819
2016-10-27,2130,2125,2210,2115,937720
2016-10-28,2125,2080,2125,2035,965425
2016-10-31,2135,2080,2180,2050,1138334
2016-11-01,2100,2085,2125,2055,590184
2016-11-02,2070,2005,2095,1980,718435
2016-11-03,1970,2040,2040,1970,334717
2016-11-04,2020,2015,2040,1990,369395
2016-11-07,2015,2015,2035,2000,434230
2016-11-08,2025,2120,2145,2010,920757
2016-11-09,2110,2055,2185,1900,1517288
2016-11-10,2110,2095,2145,2075,980483
2016-11-11,2090,2145,2145,2065,484106
2016-11-14,2150,2135,2175,2100,548103
2016-11-15,2120,2095,2140,2085,471637
2016-11-16,2110,2135,2145,2090,344951
2016-11-17,2135,2180,2220,2100,770256
2016-11-18,2190,2210,2230,2150,625823
2016-11-21,2280,2230,2335,2205,1563115
2016-11-22,2245,2185,2260,2150,475533
2016-11-23,2215,2175,2310,2155,1233757
2016-11-24,2145,2100,2190,2090,512876
2016-11-25,2100,2095,2135,2055,271185
2016-11-28,2095,2050,2110,2050,270110
2016-11-29,2050,2065,2085,2030,299673
2016-11-30,2055,2045,2075,2035,234756
2016-12-01,2055,2030,2070,2020,320030
2016-12-02,2010,2035,2090,2010,316646
2016-12-05,2020,1990,2040,1970,521043
2016-12-06,2005,2055,2055,1990,230137
2016-12-07,2055,2040,2080,2005,356575
2016-12-08,2045,2015,2060,1995,418942
2016-12-09,2015,2020,2035,2005,223284
2016-12-12,2080,2095,2105,2050,357621
2016-12-13,2105,2150,2175,2075,882613
2016-12-14,2155,2120,2165,2105,421841
2016-12-15,2125,2145,2170,2110,522381
2016-12-16,2165,2125,2180,2105,379537
2016-12-19,2150,2285,2445,2140,11612830
2016-12-20,2315,2280,2340,2255,2695099
2016-12-21,2290,2350,2350,2215,2621305
2016-12-22,2440,2280,2515,2280,7167809
2016-12-23,2245,2365,2370,2215,2171760
2016-12-26,2410,2340,2455,2340,3214036
2016-12-27,2325,2285,2375,2285,1097400
2016-12-28,2300,2390,2390,2275,1329313
2016-12-29,2415,2320,2415,2320,1091909
2017-01-02,2320,2285,2345,2240,764222
2017-01-03,2285,2280,2330,2255,1040400
2017-01-04,2285,2335,2390,2280,2220007
2017-01-05,2335,2300,2345,2300,750826
2017-01-06,2320,2365,2375,2315,1521663
2017-01-09,2375,2370,2390,2340,972557
2017-01-10,2375,2320,2395,2320,1484453
2017-01-11,2345,2340,2380,2310,1042546
2017-01-12,2340,2265,2345,2250,890202
2017-01-13,2265,2220,2295,2215,740840
2017-01-16,2225,2210,2260,2195,323106
2017-01-17,2200,2170,2230,2170,431960
2017-01-18,2160,2160,2170,2100,601765
2017-01-19,2155,2105,2175,2105,369224
2017-01-20,2070,2090,2110,2060,600036
2017-01-23,2070,2095,2160,2070,602410
