Date,Open,Close,High,Low,Volume
2006-09-26,17500,20100,20100,16100,1971229
2006-09-27,20600,18300,21100,18000,750913
2006-09-28,19000,19550,20400,18600,525274
2006-09-29,19500,18100,19750,18100,206147
2006-10-02,18200,17100,18400,16900,181752
2006-10-04,16700,16250,17100,16050,139378
2006-10-09,15600,13850,16300,13850,226673
2006-10-10,13850,14600,15300,13850,106204
2006-10-11,14250,15500,16450,14050,176828
2006-10-12,15300,15450,16050,15200,43141
2006-10-13,15700,15200,15750,14950,71420
2006-10-16,15200,15800,16050,15200,82812
2006-10-17,15650,15550,15950,14900,88576
2006-10-18,15400,15400,15750,15000,57308
2006-10-19,15800,16450,17500,15500,298992
2006-10-20,16700,16950,17300,16450,107112
2006-10-23,17200,16500,17500,16500,91807
2006-10-24,16900,17600,18500,16700,245140
2006-10-25,17700,17350,18550,17300,156797
2006-10-26,16900,17950,17950,16850,516766
2006-10-27,17950,18650,18950,17650,401766
2006-10-30,18600,18850,19300,18600,213057
2006-10-31,19100,18650,19250,18500,183241
2006-11-01,18800,19550,19550,18450,201968
2006-11-02,19350,19300,19650,19000,97281
2006-11-03,19250,19050,19500,18750,152913
2006-11-06,19050,19500,19500,18650,123913
2006-11-07,19650,20800,21000,19650,256017
2006-11-08,20950,20300,20950,20300,85277
2006-11-09,20350,21600,21600,20350,194887
2006-11-10,21250,21450,21800,21150,114976
2006-11-13,21450,21000,21450,20400,106863
2006-11-14,21000,20600,21500,20600,88702
2006-11-15,21000,21100,21300,20200,132524
2006-11-16,21100,20250,21350,20000,171974
2006-11-17,20250,20550,20900,19850,159424
2006-11-20,20800,20300,21350,20250,137797
2006-11-21,20600,20100,20600,19600,97553
2006-11-22,20000,20300,20300,19750,88341
2006-11-23,20500,20100,20500,19900,82204
2006-11-24,20000,20050,20250,19850,63167
2006-11-27,20050,20950,20950,19600,150190
2006-11-28,20650,21450,22400,20350,281100
2006-11-29,22050,21400,22200,21200,222341
2006-11-30,16793,16449,17022,16373,183893
2006-12-01,16449,16983,16983,16373,159525
2006-12-04,17174,16793,17403,16754,97580
2006-12-05,16793,16487,16945,16106,129669
2006-12-06,16220,15762,16335,15533,144625
2006-12-07,15648,15380,15838,15228,120972
2006-12-08,15266,14846,15380,14121,186731
2006-12-11,14655,14961,15152,14312,68030
2006-12-12,14884,14465,15037,14312,71426
2006-12-13,14350,14655,14884,14312,71468
2006-12-14,14694,14884,15152,14694,56939
2006-12-15,14808,14579,15266,14541,55288
2006-12-18,14617,14350,14617,14197,77576
2006-12-19,14274,13968,14846,13739,187028
2006-12-20,14121,14007,14312,14007,61479
2006-12-21,14007,13701,14197,13510,93669
2006-12-22,13663,13968,14159,13167,72697
2006-12-26,14426,13587,14426,13587,57531
2006-12-27,13434,13739,13816,13434,28653
2006-12-28,13892,13587,14007,13014,54705
2007-01-02,13472,13243,13739,13205,33754
2007-01-03,13281,12862,13587,12862,64774
2007-01-04,12938,12442,12938,12365,125273
2007-01-05,12556,12365,12594,11755,78793
2007-01-08,13014,12938,13396,12785,180673
2007-01-09,12976,12900,12976,12442,47922
2007-01-10,13091,12556,13091,12442,49182
2007-01-11,12594,12671,12823,12480,109532
2007-01-12,12785,13243,13243,12594,84958
2007-01-15,13320,13396,13396,13091,67343
2007-01-16,13510,12976,13510,12976,62565
2007-01-17,13014,12976,13052,12671,46779
2007-01-18,12747,12823,12938,12594,53021
2007-01-19,12785,12022,12785,11793,77648
2007-01-22,11831,11602,12060,11411,76812
2007-01-23,11411,11068,11717,10953,76606
2007-01-24,11068,11373,11450,11068,89236
2007-01-25,11564,11297,11678,11221,61054
2007-01-26,11106,10992,11221,10839,38409
2007-01-29,10992,10953,11144,10534,89161
2007-01-30,11144,10648,11144,10610,50535
2007-01-31,10801,11221,11602,10724,157910
2007-02-01,11488,11068,11678,10877,141869
2007-02-02,11106,11259,11602,11068,83870
2007-02-05,11297,11640,11640,11297,86570
2007-02-06,11640,11717,11755,11411,38154
2007-02-07,11526,11411,11755,11373,67159
2007-02-08,11335,11221,11526,11144,47597
2007-02-09,11221,11259,11450,11144,50717
2007-02-12,11297,10992,11297,10915,30256
2007-02-13,10839,11488,11488,10801,108666
2007-02-14,11602,12060,12175,11335,164168
2007-02-15,12175,12098,12365,11831,73773
2007-02-16,12213,12136,12213,11717,51703
2007-02-20,11984,12251,12480,11984,72508
2007-02-21,12442,12175,12442,11907,58408
2007-02-22,12175,11755,12213,11755,59211
