Date,Open,Close,High,Low,Volume
2011-11-10,10014,8512,10348,8512,7443064
2011-11-11,8612,7744,8645,7511,3046015
2011-11-14,7878,7644,8095,7577,1370158
2011-11-15,7594,7627,8028,7594,1152492
2011-11-16,7778,6843,7861,6759,1172067
2011-11-17,6943,7277,7511,6826,1267741
2011-11-18,7060,6926,7127,6910,442609
2011-11-21,6926,6559,6976,6559,445050
2011-11-22,7193,7527,7527,7177,683043
2011-11-23,7344,7727,8011,7177,1776443
2011-11-24,8879,8879,8879,8729,1022768
2011-11-25,9313,9530,9947,9063,3250269
2011-11-28,9613,9263,9647,8996,1208331
2011-11-29,9296,9330,9563,8996,1088930
2011-11-30,9346,8879,9463,8846,1263499
2011-12-01,9079,8829,9113,8595,1090158
2011-12-02,8779,9196,9380,8746,1018924
2011-12-05,9246,9196,9380,9046,627929
2011-12-06,9113,8896,9196,8862,394170
2011-12-07,8896,8996,9046,8812,375011
2011-12-08,9029,9547,9780,8946,1061542
2011-12-09,9396,9480,9764,9296,861423
2011-12-12,9680,9380,9897,9380,2203253
2011-12-13,10300,8950,10400,8810,942268
2011-12-14,8950,8500,8950,8380,273920
2011-12-15,8240,8410,8980,8240,278419
2011-12-16,8640,8630,8740,8420,150662
2011-12-19,8520,8260,8780,7650,309296
2011-12-20,8130,8330,8430,8130,130930
2011-12-21,8440,8350,8640,8350,187890
2011-12-22,8330,8270,8510,8260,96148
2011-12-23,8500,8360,8520,8330,107120
2011-12-26,8430,8300,8460,8210,78210
2011-12-27,8390,8120,8390,8070,138470
2011-12-28,8030,7920,8170,7920,85138
2011-12-29,7610,7600,7800,7320,940259
2012-01-02,7700,7950,7950,7300,648609
2012-01-03,8000,8300,8350,7850,593001
2012-01-04,8600,8490,8760,8420,1098654
2012-01-05,8520,8490,8670,8430,477902
2012-01-06,8580,8800,8950,8520,986101
2012-01-09,8970,8950,9220,8820,904091
2012-01-10,9170,8870,9170,8800,544624
2012-01-11,9010,9170,9300,8820,997241
2012-01-12,9140,8970,9170,8880,528628
2012-01-13,8980,9000,9200,8920,418494
2012-01-16,8820,8610,8920,8570,464862
2012-01-17,8760,8680,8820,8630,281188
2012-01-18,8680,8560,8800,8380,491482
2012-01-19,8570,8470,8630,8390,356880
2012-01-20,8390,8180,8490,8050,657890
2012-01-25,8090,8150,8200,8050,190875
2012-01-26,8190,8280,8390,8150,213709
2012-01-27,8440,8210,8440,8200,163545
2012-01-30,8250,7900,8250,7900,388067
2012-01-31,8040,8210,8340,8000,340288
2012-02-01,8300,8500,8520,8210,349125
2012-02-02,8600,8370,8670,8320,376364
2012-02-03,8350,8160,8420,8090,254001
2012-02-06,8160,8200,8390,8090,418095
2012-02-07,8200,8060,8300,8060,326590
