Date,Open,Close,High,Low,Volume
2011-11-11,2690,2485,2750,2300,40479943
2011-11-14,2550,2540,2600,2475,6225541
2011-11-15,2540,2430,2615,2410,3201941
2011-11-16,2430,2205,2465,2200,3447708
2011-11-17,2250,2535,2535,2245,5280826
2011-11-18,2535,2430,2575,2350,6423666
2011-11-21,2450,2335,2460,2335,1983160
2011-11-22,2260,2335,2420,2255,1933352
2011-11-23,2335,2210,2375,2200,1617412
2011-11-24,2240,2315,2425,2215,1920335
2011-11-25,2310,2250,2375,2165,1956571
2011-11-28,2285,2320,2350,2265,1010671
2011-11-29,2375,2330,2465,2320,2245983
2011-11-30,2345,2280,2375,2265,1551396
2011-12-01,2345,2230,2370,2205,1640664
2011-12-02,2240,2240,2280,2200,1115414
2011-12-05,2265,2340,2380,2240,1843054
2011-12-06,2345,2395,2430,2300,2774473
2011-12-07,2445,2670,2750,2410,13345156
2011-12-08,2705,2680,2840,2590,6313611
2011-12-09,2680,2830,2925,2610,8875410
2011-12-12,2895,2980,3105,2810,8590240
2011-12-13,2950,2940,3015,2875,3638720
2011-12-14,2975,2895,3050,2850,3701436
2011-12-15,2830,2820,2900,2720,2386229
2011-12-16,2905,3175,3240,2865,13487897
2011-12-19,3100,3050,3260,2845,8321235
2011-12-20,3105,3275,3415,3080,7002492
2011-12-21,3440,3135,3580,3100,8105215
2011-12-22,3135,3285,3345,3030,5389816
2011-12-23,3340,3320,3415,3260,3771648
2011-12-26,3335,3230,3360,3155,2692143
2011-12-27,3250,3260,3285,3010,2917019
2011-12-28,3280,3280,3360,3255,2219495
2011-12-29,3240,3330,3350,3195,2026584
2012-01-02,3390,3420,3490,3370,2671067
2012-01-03,3430,3530,3635,3385,4841192
2012-01-04,3590,3415,3615,3405,2822942
2012-01-05,3435,3335,3480,3320,2332639
2012-01-06,3370,3475,3475,3325,2270594
2012-01-09,3465,3450,3540,3385,2148974
2012-01-10,3485,3400,3560,3395,2184721
2012-01-11,3400,3340,3430,3310,1583845
2012-01-12,3345,3400,3425,3330,1205719
2012-01-13,3415,3610,3690,3390,3537925
2012-01-16,3590,3570,3655,3555,2339922
2012-01-17,3630,3430,3645,3380,2199062
2012-01-18,3450,3180,3475,3180,2754321
2012-01-19,3270,3230,3345,3225,1396614
2012-01-20,3220,3080,3290,3010,3009179
2012-01-25,3080,3130,3185,3030,1265622
2012-01-26,3130,3210,3250,3115,1233061
2012-01-27,3185,3080,3250,3040,1821994
2012-01-30,3050,2980,3060,2950,1242501
2012-01-31,2955,3090,3090,2950,1252427
2012-02-01,3060,3155,3255,3060,3169959
2012-02-02,3195,3090,3195,3085,1044153
2012-02-03,3135,3055,3135,3035,808505
2012-02-06,3055,2980,3115,2970,1542764
2012-02-07,3000,2920,3010,2900,1147116
2012-02-08,2930,2825,2930,2800,1615609
2012-02-09,2810,2740,2880,2695,2252488
2012-02-10,2770,3000,3040,2735,2724558
2012-02-13,3080,3095,3115,2950,1949635
2012-02-14,3130,3120,3205,3110,1845842
2012-02-15,3120,3135,3205,3075,1364370
2012-02-16,3170,3220,3340,3160,2504008
2012-02-17,3375,3345,3380,3265,2587303
2012-02-20,3350,3340,3365,3270,1146666
2012-02-21,3370,3260,3395,3255,1164171
2012-02-22,3265,3190,3290,3155,1221406
2012-02-23,3240,3380,3380,3195,2212240
2012-02-24,3400,3555,3590,3390,3628970
2012-02-27,3580,3445,3595,3410,2316801
2012-02-28,3545,3410,3580,3310,2785966
2012-02-29,3460,3385,3465,3300,2437049
2012-03-02,3410,3385,3480,3370,1531490
2012-03-05,3410,3300,3445,3290,1383358
2012-03-06,3270,3405,3405,3250,1372765
2012-03-07,3455,3355,3475,3355,4110156
2012-03-08,3360,3270,3365,3225,2084356
2012-03-09,3295,3200,3295,3160,1985523
2012-03-12,3205,3070,3220,3050,1791998
2012-03-13,3060,3200,3210,3060,1330326
2012-03-14,3260,3100,3265,3095,1151525
2012-03-15,3135,3330,3335,3100,1730717
2012-03-16,3355,3355,3385,3250,1659161
2012-03-19,3300,3250,3335,3185,1126678
2012-03-20,3250,3250,3290,3160,962992
2012-03-21,3215,3190,3290,3180,829859
2012-03-22,3180,3125,3220,3100,584754
2012-03-23,3090,3160,3160,3055,668220
2012-03-26,3155,3050,3180,3050,712044
2012-03-27,3060,2940,3105,2925,1272901
2012-03-28,2900,2850,2935,2820,943429
2012-03-29,2850,2860,2895,2800,507052
2012-03-30,2860,3010,3010,2860,782332
2012-04-02,3030,2990,3040,2975,559746
2012-04-03,3020,2910,3030,2855,934793
