Date,Open,Close,High,Low,Volume
2016-09-13,10628,10720,10720,10628,10078
2016-09-19,10556,10686,10686,10493,9734
2016-09-20,10628,10705,10705,10595,607
2016-09-21,10676,10845,10845,10662,12177
2016-09-22,10975,10826,10975,10826,12281
2016-09-23,10937,10908,10980,10908,11484
2016-09-26,10999,10999,11047,10980,6734
2016-09-27,10975,11062,11062,10946,5848
2016-09-28,11033,10956,11033,10951,5184
2016-09-29,11124,11216,11245,11124,173736
2016-09-30,11153,11148,11182,11105,13674
2016-10-04,11192,11172,11201,11139,1022
2016-10-05,11148,11091,11148,11091,14
2016-10-06,11134,11042,11177,11018,13795
2016-10-07,11042,11004,11062,11004,3109
2016-10-10,11076,11144,11221,11076,11351
2016-10-11,11211,11235,11307,11201,174192
2016-10-12,11269,11245,11298,11172,6008
2016-10-13,11091,11033,11091,11033,9673
2016-10-14,11047,11038,11062,11038,7501
2016-10-17,11153,11240,11274,11091,12
2016-10-18,11303,11437,11437,11298,183085
2016-10-19,11452,11437,11524,11433,97841
2016-10-20,11529,11591,11654,11529,90733
2016-10-21,11620,11505,11620,11505,7436
2016-10-24,11534,11529,11577,11529,24
2016-10-25,11529,11433,11529,11433,5958
2016-10-26,11433,11235,11433,11211,9890
2016-10-27,11264,11269,11269,11158,3333
2016-10-28,11221,11182,11221,11172,5823
2016-10-31,11120,11100,11120,11081,9248
2016-11-01,11081,11182,11182,11038,4271
2016-11-02,11139,11076,11168,11062,8902
2016-11-03,11067,11206,11206,11067,5026
2016-11-04,11225,11187,11225,11158,3124
2016-11-07,11307,11394,11408,11293,23780
2016-11-08,11404,11433,11437,11370,6373
2016-11-09,11442,11091,11471,10980,8443
2016-11-10,11245,11346,11351,11235,18196
2016-11-11,11269,11230,11269,11230,5825
2016-11-14,11230,11384,11384,11197,9386
2016-11-15,11331,11461,11461,11288,1138
2016-11-16,11567,11486,11582,11413,469
2016-11-17,11428,11461,11461,11341,4953
2016-11-18,11167,10987,11167,10983,6056
2016-11-21,10987,11053,11053,10987,88
2016-11-22,11162,11162,11162,11162,2
2016-11-23,11167,11237,11275,11157,8775
2016-11-24,11214,10983,11214,10983,10316
2016-11-25,11053,11006,11053,11006,3405
2016-11-28,10950,10907,10950,10907,6884
2016-11-29,10940,10940,11002,10940,3410
2016-11-30,10959,10874,10959,10823,5167
2016-12-01,11091,11077,11091,11039,189
2016-12-02,11020,11025,11025,11020,8848
2016-12-05,10969,10978,10978,10969,135
2016-12-06,11167,11195,11228,11167,14032
2016-12-07,11200,11185,11204,11181,2595
2016-12-08,11247,11464,11464,11247,6791
2016-12-09,11435,11341,11459,11341,3581
2016-12-12,11473,11322,11473,11322,94
2016-12-13,11383,11393,11464,11383,7986
2016-12-14,11440,11313,11440,11313,15520
2016-12-15,11327,11440,11459,11313,15893
2016-12-16,11445,11445,11445,11445,8495
2016-12-19,11393,11365,11412,11308,328
2016-12-20,11365,11313,11398,11280,7674
2016-12-21,11313,11383,11435,11313,6969
2016-12-22,11398,11402,11412,11365,15453
2016-12-23,11407,11426,11426,11398,22383
2016-12-26,11426,11426,11426,11426,57
2016-12-27,11440,11487,11487,11412,6585
2016-12-28,11581,11558,11629,11558,4474
2016-12-29,11530,11586,11586,11478,24
2017-01-02,11482,11600,11633,11482,4372
2017-01-03,11629,11850,11850,11629,455
2017-01-04,11784,11808,11883,11784,47641
2017-01-05,11765,11794,11803,11765,3473
2017-01-06,11836,11827,11855,11827,90
2017-01-09,11827,11869,11869,11751,3993
2017-01-10,11784,11779,11808,11770,8525
2017-01-11,11902,12076,12076,11902,303
2017-01-12,12161,12194,12194,12095,10980
2017-01-13,12175,12142,12185,12105,737
2017-01-16,12081,12053,12105,12006,15468
2017-01-17,12109,12086,12128,12001,98
2017-01-18,11897,11958,11973,11878,4403
2017-01-19,11930,11944,11987,11794,9408
2017-01-20,11845,11690,11855,11676,5340
2017-01-23,11723,11751,11784,11723,2937
2017-01-24,11680,11695,11695,11680,2552
2017-01-25,11723,11695,11723,11690,159
2017-01-26,11770,11855,11883,11695,3050
2017-01-31,11794,11577,11794,11577,15149
2017-02-01,11713,11662,11723,11662,11898
2017-02-02,11944,11869,11944,11869,25
2017-02-03,11869,11690,11869,11690,10702
2017-02-06,11836,11789,11836,11756,156
2017-02-07,11775,11586,11775,11586,11578
2017-02-08,11553,11567,11567,11553,3078
2017-02-09,11699,11704,11704,11624,8542
2017-02-10,11803,11916,11944,11770,17392
2017-02-13,12006,12057,12057,11963,14018
2017-02-14,12053,11935,12053,11911,7776
2017-02-15,12010,12105,12105,12010,12639
2017-02-16,12105,11925,12105,11916,21980
2017-02-17,11930,11902,11930,11902,66
2017-02-20,11798,11770,11798,11713,266
2017-02-21,11860,11822,11860,11784,6877
2017-02-22,11864,11855,11874,11831,32
2017-02-23,11803,11855,11864,11803,2918
2017-02-24,11784,11704,11784,11704,14781
2017-02-27,11704,11704,11713,11704,1131
2017-02-28,11803,11812,11812,11770,7958
2017-03-02,11874,11756,11874,11756,10585
2017-03-03,11761,11695,11817,11690,1011
2017-03-06,11548,11624,11624,11449,7172
2017-03-07,11662,11751,11789,11662,9349
2017-03-08,11709,11680,11709,11633,3454
2017-03-09,11657,11600,11676,11600,7952
2017-03-10,11600,11610,11610,11600,6806
2017-03-13,11610,11680,11723,11610,12368
2017-03-14,11822,11728,11822,11718,8550
2017-03-15,11718,11794,11794,11709,6839
2017-03-16,11940,11954,12081,11916,1914
2017-03-17,12015,12029,12029,11930,4256
2017-03-20,12039,12020,12039,11958,58
2017-03-21,12100,12265,12265,12076,20214
2017-03-22,12185,12010,12185,11996,22283
2017-03-23,12270,12114,12270,12109,3408
2017-03-24,12062,12015,12109,12010,3764
2017-03-27,12015,11930,12015,11907,13605
2017-03-28,12119,12180,12199,12105,12507
2017-03-29,12218,12312,12312,12218,12241
2017-03-30,12317,12317,12373,12284,7685
2017-03-31,12444,12444,12496,12397,8911
2017-04-03,12510,12369,12510,12369,5837
2017-04-04,12270,12128,12270,12128,6876
2017-04-05,12237,12142,12237,12095,2748
2017-04-06,12138,12166,12180,12053,6365
2017-04-07,12161,12208,12208,12081,38942
2017-04-10,12114,12048,12114,11996,1163
2017-04-11,11973,12062,12152,11954,3575
2017-04-12,11996,11982,12057,11977,26
2017-04-13,11916,11973,11973,11916,11933
2017-04-14,11864,11874,11944,11864,8778
2017-04-17,11930,11911,12020,11902,7658
2017-04-18,11987,11907,11987,11907,227
2017-04-19,11907,11921,11944,11907,133
2017-04-20,11973,12015,12015,11878,5111
2017-04-21,12048,12029,12072,11996,7658
2017-04-24,12076,12147,12161,12076,15820
2017-04-25,12171,12246,12265,12171,6244
2017-04-26,12312,12378,12477,12312,4782
2017-04-27,12512,12301,12541,12301,2875
2017-04-28,12257,12214,12286,12205,5918
2017-05-02,12416,12334,12416,12214,30774
2017-05-04,12315,12267,12339,12267,12376
2017-05-08,12334,12382,12382,12166,3045
2017-05-10,12526,12349,12632,12325,10535
2017-05-11,12329,12546,12546,12329,5919
2017-05-12,12570,12618,12647,12560,8931
2017-05-15,12608,12589,12695,12584,7168
2017-05-16,12699,12709,12709,12599,13962
2017-05-17,12637,12627,12675,12618,7130
2017-05-18,12507,12536,12560,12478,9284
2017-05-19,12647,12642,12695,12589,16902
2017-05-22,12805,12896,12959,12772,13770
2017-05-23,12964,13065,13108,12916,12389
2017-05-24,13065,12997,13074,12969,546
2017-05-25,13050,13295,13295,13050,17330
2017-05-26,13286,13252,13300,13209,18342
2017-05-29,13329,13439,13560,13329,6186
2017-05-30,13439,13363,13507,13252,14167
2017-05-31,13295,13276,13396,13262,8590
2017-06-01,13276,13358,13358,13223,8449
2017-06-02,13363,13156,13363,13156,16368
2017-06-05,13194,13069,13194,13021,18336
2017-06-07,12973,12969,13050,12964,2956
2017-06-08,12916,12887,12930,12776,8013
2017-06-09,12954,13007,13089,12930,7438
2017-06-12,13045,12901,13103,12887,8830
2017-06-13,12978,12964,12983,12940,4782
2017-06-14,12969,12796,12969,12791,22701
2017-06-15,12767,12599,12767,12493,10864
2017-06-16,12589,12695,12743,12589,12322
2017-06-19,12695,12762,12810,12695,26082
2017-06-20,12757,12656,12767,12656,8554
2017-06-21,12555,12723,12723,12493,14184
2017-06-22,12680,12858,12858,12589,5894
2017-06-23,12877,12800,12877,12776,12852
2017-06-26,12776,12747,12815,12723,8191
2017-06-27,12772,12733,12810,12723,789
2017-06-28,12762,12762,12810,12733,715
2017-06-29,12805,12675,12805,12675,9384
2017-06-30,12699,12896,12911,12675,23379
2017-07-03,12920,13132,13132,12920,32091
2017-07-04,13185,12901,13185,12892,10065
2017-07-05,12901,12872,12901,12815,5248
2017-07-06,12872,12815,12872,12728,11051
2017-07-07,12820,12781,12844,12752,1287
2017-07-10,12781,12887,12887,12719,5608
2017-07-11,12920,13074,13074,12916,25588
2017-07-12,13098,13012,13098,12944,23584
2017-07-13,13156,13151,13185,13098,22743
2017-07-14,13214,13358,13396,13214,34993
2017-07-17,13540,13444,13540,13435,7977
2017-07-18,13417,13436,13465,13335,1685
2017-07-19,13436,13393,13484,13364,7876
2017-07-20,13546,13604,13608,13517,40997
2017-07-21,13604,13608,13666,13604,2249
2017-07-24,13608,13676,13685,13608,10700
2017-07-25,13671,13618,13762,13618,14462
2017-07-26,13829,13637,13829,13565,6239
2017-07-27,13757,13748,13834,13748,11043
2017-07-28,13772,13618,13772,13604,12634
2017-07-31,13560,13824,13834,13560,21457
2017-08-01,13824,13997,14088,13824,30714
2017-08-02,14031,13944,14031,13891,7694
2017-08-03,13944,13709,13944,13671,29296
2017-08-04,13661,14107,14122,13661,53162
2017-08-07,14246,14112,14309,14112,20256
2017-08-08,14146,14074,14146,13911,9902
2017-08-09,13944,13939,13968,13911,22631
2017-08-10,13901,13925,14031,13748,6607
2017-08-11,13632,13800,13867,13632,29496
2017-08-14,13983,14026,14050,13983,25554
2017-08-16,14059,13839,14059,13752,24408
2017-08-17,13819,13896,13920,13819,34789
2017-08-18,13781,13935,13954,13781,4081
2017-08-21,14045,14002,14064,13987,23403
2017-08-22,14026,14141,14174,14026,18919
2017-08-23,14160,14064,14170,14035,14557
2017-08-24,14059,14290,14314,14059,27321
2017-08-25,14309,14266,14309,14213,2200
2017-08-28,14294,14309,14366,14218,1068
2017-08-29,14251,14333,14333,14150,2655
2017-08-30,14352,14515,14515,14352,26236
2017-08-31,14697,14582,14817,14515,14914
2017-09-01,14654,14505,14702,14486,18634
2017-09-04,14266,14429,14491,14266,12071
2017-09-05,14529,14323,14529,14222,21804
2017-09-06,14366,14333,14400,14242,2604
2017-09-07,14376,14371,14385,14285,14504
2017-09-08,14352,14362,14362,14261,12666
2017-09-11,14376,14702,14736,14376,38964
2017-09-12,14784,14750,14784,14673,12217
2017-09-13,14788,14932,15019,14788,29879
2017-09-14,14952,14894,14956,14726,14581
2017-09-15,14793,14678,14793,14544,28129
2017-09-18,14678,14692,14760,14678,11036
2017-09-19,14764,14683,14764,14668,690
2017-09-20,14645,14549,14645,14529,18359
2017-09-21,14577,14568,14654,14553,12664
2017-09-22,14553,14184,14553,14007,54578
2017-09-25,14074,14179,14179,13978,6714
2017-09-26,14179,14342,14362,14179,21886
2017-09-27,14371,14429,14429,14304,9216
2017-09-28,14371,14438,14486,14290,6479
2017-09-29,14515,14654,14654,14515,18235
2017-10-10,14784,14851,14899,14635,983951
2017-10-11,14913,14659,14985,14606,1483156
2017-10-12,14745,14841,14880,14745,1736172
2017-10-13,14841,14856,15004,14726,2501968
2017-10-16,14942,14726,14990,14702,1556481
2017-10-17,14755,14808,14841,14645,1455448
2017-10-18,14769,14812,14899,14755,1995006
2017-10-19,14913,14865,14975,14817,1705222
2017-10-20,14841,14827,14937,14774,1653073
2017-10-23,14875,14966,14999,14875,745029
2017-10-24,14966,14904,14995,14894,419030
2017-10-25,14947,14899,14947,14798,1189596
2017-10-26,14832,14774,14947,14755,1197978
2017-10-27,14788,14928,14928,14788,1048177
2017-10-30,14999,14875,14999,14822,1228460
2017-10-31,14856,14793,14856,14678,1204485
2017-11-01,14740,15057,15076,14740,408469
2017-11-02,15129,15086,15172,15009,1964211
2017-11-03,15086,15081,15110,14952,1987627
2017-11-06,15110,15023,15153,14937,1698611
2017-11-07,15086,15067,15129,14947,1720998
2017-11-08,14999,14995,15062,14899,2276476
2017-11-09,15119,15062,15129,14980,724084
2017-11-10,15038,14904,15038,14894,1103145
2017-11-13,14923,14496,14923,14472,1522679
2017-11-14,14558,14539,14558,14448,2415157
2017-11-15,14472,14385,14472,14309,3515200
2017-11-16,14400,14712,14721,14385,2273203
2017-11-17,14740,14755,14904,14726,422243
2017-11-20,14779,14692,14884,14659,1472007
2017-11-21,14760,14731,14760,14668,2481184
2017-11-22,14803,14856,14899,14803,2414942
2017-11-23,14932,15014,15033,14932,2239859
2017-11-24,15019,15019,15033,14966,1795866
2017-11-27,15071,14956,15110,14894,1277054
2017-11-28,14956,15047,15071,14942,1193465
2017-11-29,15004,15110,15148,15004,1536881
2017-11-30,15220,14980,15220,14980,568609
2017-12-01,14961,14846,14961,14779,1259977
2017-12-04,14860,15100,15100,14860,111130
2017-12-05,15038,15091,15115,15023,22438
2017-12-06,15095,14990,15124,14956,11030
2017-12-07,14956,14760,14956,14678,35834
2017-12-08,14745,14740,14836,14702,2619
2017-12-11,14745,14769,14803,14745,12239
2017-12-12,14745,14592,14755,14510,45625
2017-12-13,14592,14764,14764,14592,262332
2017-12-14,14884,14774,14918,14774,1331
2017-12-15,14793,14846,14860,14678,37989
2017-12-18,14870,14836,14870,14750,42613
2017-12-19,14836,14822,14894,14760,7979
2017-12-20,14779,14880,14937,14779,7229
2017-12-21,14875,14750,14875,14716,63304
2017-12-22,14755,14793,14841,14740,22843
2017-12-26,14788,14889,14904,14788,16555
2017-12-27,15038,15028,15052,14932,13466
2017-12-28,15038,15350,15350,15023,17827
2018-01-02,15345,15460,15460,15326,20946
2018-01-03,15326,15378,15489,15326,95522
2018-01-04,15484,15201,15484,15172,38292
2018-01-05,15249,15417,15446,15249,7095
2018-01-08,15546,15637,15637,15422,83890
2018-01-09,15724,15729,15834,15652,54786
2018-01-10,15786,15825,15834,15666,24764
2018-01-11,15839,15685,15848,15580,21373
2018-01-12,15757,15743,15805,15695,103300
2018-01-15,15829,15848,15925,15796,22703
2018-01-16,15863,15757,15863,15719,23488
2018-01-17,15738,15652,15781,15556,80610
2018-01-18,15637,15465,15642,15426,100739
2018-01-19,15455,15637,15637,15455,14647
2018-01-22,15676,15762,15767,15546,10799
2018-01-23,15743,15983,15983,15685,195949
2018-01-24,15988,15997,16103,15983,25150
2018-01-25,16040,16261,16271,16040,154619
2018-01-26,16237,16170,16314,16146,103764
2018-01-29,16227,16712,16717,16227,31729
2018-01-30,16702,16563,16841,16563,117862
2018-01-31,16438,16424,16458,16127,60375
2018-02-01,16376,16323,16520,16323,159080
2018-02-02,16242,15964,16304,15877,144236
2018-02-05,15733,15661,15810,15613,62290
2018-02-06,15254,15455,15479,15043,268209
2018-02-07,15613,14913,15628,14913,379769
2018-02-08,14928,15023,15119,14851,92812
2018-02-09,14692,14918,14942,14678,43306
2018-02-12,15009,15028,15067,14755,18730
2018-02-13,15110,15023,15172,14956,2713
2018-02-14,15023,15100,15110,14952,3404
2018-02-19,15297,15503,15503,15292,4569
2018-02-20,15489,15302,15489,15302,133387
2018-02-21,15302,15292,15359,15235,79664
2018-02-22,15244,15158,15273,15119,30559
2018-02-23,15306,15570,15570,15297,89198
2018-02-26,15729,15829,15877,15729,47440
2018-02-27,16012,15829,16021,15829,8062
2018-02-28,15738,15594,15834,15594,49462
2018-03-02,15441,15537,15589,15321,38216
2018-03-05,15537,15258,15537,15258,208974
2018-03-06,15484,15484,15522,15412,224843
2018-03-07,15422,15393,15450,15282,13525
2018-03-08,15350,15393,15393,15119,29420
2018-03-09,15393,15642,15685,15350,250597
2018-03-12,15829,15916,15916,15801,49748
2018-03-13,15791,15815,15829,15709,25156
2018-03-14,15781,15868,15978,15753,15407
2018-03-15,15863,15872,15877,15753,73949
2018-03-16,15872,15781,15872,15705,85012
2018-03-19,15853,15676,15853,15623,65531
2018-03-20,15613,15690,15700,15561,176570
2018-03-21,15733,15690,15743,15589,94502
2018-03-22,15709,15815,15882,15709,167334
2018-03-23,15494,15374,15532,15326,181562
2018-03-26,15330,15542,15542,15258,2127
2018-03-27,15719,15575,15719,15542,19002
2018-03-28,15470,15302,15470,15206,46826
