Date,Open,Close,High,Low,Volume
2015-12-24,199500,168300,209000,166700,553086
2015-12-28,166500,177400,177500,166500,116602
2015-12-29,173900,180100,185600,173800,68108
2015-12-30,180000,198600,199700,180000,108607
2016-01-04,199500,190100,200000,190100,56384
2016-01-05,185000,200500,207500,183500,58325
2016-01-06,200000,203900,205000,197700,53690
2016-01-07,199400,205000,213300,198900,50502
2016-01-08,200000,211000,212500,199500,37860
2016-01-11,222900,212500,229000,212100,94996
2016-01-12,213800,217000,222400,209100,43036
2016-01-13,219500,219700,222000,217500,26725
2016-01-14,219500,213000,219500,212500,31965
2016-01-15,215000,220000,230000,214600,60517
2016-01-18,219900,222000,223900,213900,40847
2016-01-19,222000,222800,223500,219000,16411
2016-01-20,224100,220000,231000,216400,34764
2016-01-21,219500,219500,222100,216400,19127
2016-01-22,220000,219000,222300,218000,15635
2016-01-25,219000,224000,226900,215900,33244
2016-01-26,221400,235000,243000,221400,66653
2016-01-27,238900,243800,252500,236100,70725
2016-01-28,247000,242800,247300,238700,25964
2016-01-29,242700,245500,245500,237900,31730
2016-02-01,246000,244300,246100,241500,23527
2016-02-02,243500,243000,244900,239600,20157
2016-02-03,242000,241600,242900,239000,14902
2016-02-04,242100,243200,248000,240500,15332
2016-02-05,244600,240600,245100,238800,20400
2016-02-11,237200,239400,243200,230100,27779
2016-02-12,239900,218100,240700,218100,56328
2016-02-15,218100,213500,218500,200300,52163
2016-02-16,215400,214100,218600,213400,29829
2016-02-17,213300,212700,217900,208100,27935
2016-02-18,212900,227400,227400,212900,24245
2016-02-19,227400,227100,229800,224500,12805
2016-02-22,228400,227200,228500,223200,9153
2016-02-23,227300,227000,231800,225200,12562
2016-02-24,234900,231000,236000,228000,32217
2016-02-25,231300,236000,238200,231000,18814
2016-02-26,236100,233700,238400,233700,10987
2016-02-29,236800,224600,236800,223000,17500
2016-03-02,225500,232300,235900,225500,19709
2016-03-03,232700,250000,254400,232700,60901
2016-03-04,251100,263400,267500,251000,54453
2016-03-07,263400,255300,265700,251300,43172
2016-03-08,256500,264200,267500,251000,39887
2016-03-09,268000,274000,279500,264300,63512
2016-03-10,274000,271500,276800,268200,17335
2016-03-11,270000,265700,271500,262300,14527
2016-03-14,267200,261500,269000,259400,18413
2016-03-15,259100,262300,269000,259100,17934
2016-03-16,262400,259700,265500,259600,12493
2016-03-17,258600,262300,262900,258200,10053
2016-03-18,262400,259500,262700,257200,8989
2016-03-21,261600,259600,261600,254100,13773
2016-03-22,262800,266000,267600,261500,27149
2016-03-23,267000,263000,267500,262300,14333
2016-03-24,255000,264200,264400,254500,28741
2016-03-25,262100,260100,267300,259700,13142
2016-03-28,259000,257500,261000,257500,10243
2016-03-29,259800,256600,259900,249900,33413
2016-03-30,256600,270000,275000,256500,48805
2016-03-31,273200,278400,279800,268000,32803
2016-04-01,280000,284200,291500,278500,205502
2016-04-04,287500,296400,301500,287500,42385
2016-04-05,299600,299600,306000,296400,39556
2016-04-06,300000,300000,305000,295000,33531
2016-04-07,303400,319000,320000,303400,52030
2016-04-08,323900,318900,347000,313400,103404
2016-04-11,320000,314000,330000,307000,56322
2016-04-12,313000,327000,333300,312000,83965
2016-04-14,335100,322000,339000,317400,30203
2016-04-15,319800,312600,319800,311600,23129
2016-04-18,313300,312500,318000,311000,11699
2016-04-19,316500,310000,317000,309800,18809
2016-04-20,311500,302900,312400,301800,26320
2016-04-21,305800,299900,305800,296100,21731
2016-04-22,299100,312000,314800,299100,24019
2016-04-25,314800,300400,314800,299700,21029
2016-04-26,300500,299800,309900,299800,15954
2016-04-27,300400,311200,312400,300400,17875
2016-04-28,313500,309600,316100,309000,15155
2016-04-29,312500,304300,314500,302600,14119
2016-05-02,303500,301500,306800,299800,13865
2016-05-03,306500,322700,325100,302200,47319
2016-05-04,322000,318000,322000,313300,21443
2016-05-09,318200,317800,321500,313900,11219
2016-05-10,318200,319400,324400,317000,18014
2016-05-11,320000,323100,325000,316600,17585
2016-05-12,322000,332200,335000,319900,30506
2016-05-13,336900,338700,345800,332400,31847
2016-05-16,343800,335100,343800,335000,19453
2016-05-17,344200,329000,344600,317600,37875
2016-05-18,329200,326700,329200,321000,14793
2016-05-19,327000,316800,327500,316500,20193
2016-05-20,316000,319000,322000,310000,15391
2016-05-23,318900,321000,323000,313000,13374
2016-05-24,320100,326500,329000,317200,19686
2016-05-25,329900,327000,329900,320000,16172
2016-05-26,329000,328900,329500,324100,14774
2016-05-27,328700,328100,333000,325300,27092
2016-05-30,336000,333400,347700,330000,49753
2016-05-31,333800,340000,340000,328600,38079
2016-06-01,340000,338300,343400,336300,12186
2016-06-02,341000,340000,342000,337000,13931
2016-06-03,343500,346100,348000,338000,24430
2016-06-07,346100,333800,348400,333800,33725
2016-06-08,333700,332000,333700,326000,19296
2016-06-09,333500,336200,336900,331000,16841
2016-06-10,335600,331300,335600,330500,9603
2016-06-13,331000,321600,331000,320000,15574
2016-06-14,320000,310500,321900,310500,29614
2016-06-15,309900,318700,320500,305000,29200
2016-06-16,320500,309000,329100,307700,20074
2016-06-17,310600,306400,313100,302900,59064
2016-06-20,306400,311700,311700,303300,15067
2016-06-21,313500,310200,313500,307200,12420
2016-06-22,307200,303000,307400,302800,22943
