Date,Open,Close,High,Low,Volume
2015-04-13,14575,12400,14650,12400,3892844
2015-04-14,11875,12325,12900,11575,2419466
2015-04-15,12700,12250,12925,12075,1205604
2015-04-16,12250,12300,13075,12250,947760
2015-04-17,12300,11825,12500,11650,592424
2015-04-20,11900,11450,12050,11400,465962
2015-04-21,11500,11325,11925,11275,581260
2015-04-22,11425,10450,11550,9925,835650
2015-04-23,10550,9900,10575,9825,599488
2015-04-24,10000,9700,10300,9475,581140
2015-04-27,9750,9750,9975,9575,279944
2015-04-28,9825,10325,10525,9575,759964
2015-04-29,10475,10000,10500,9900,442392
2015-04-30,10025,9800,10050,9625,230296
2015-05-04,9850,9500,9875,9325,309524
2015-05-06,9375,10475,10900,8950,1147310
2015-05-07,10275,9925,10275,9700,611546
2015-05-08,10000,9900,10225,9850,267296
2015-05-11,9900,9625,10000,9600,204808
2015-05-12,9725,9750,10325,9625,411770
2015-05-13,9375,9500,9575,9300,549412
2015-05-14,9450,9950,10000,9375,430814
2015-05-15,9900,10000,10150,9675,948570
2015-05-18,10150,10825,10925,9850,1174578
2015-05-19,10550,10850,11075,10325,745644
2015-05-20,11250,10900,11525,10775,982850
2015-05-21,11200,11150,11725,11050,838614
2015-05-22,11275,10800,11350,10750,396432
2015-05-26,10775,10425,10800,10250,434134
2015-05-27,10300,10000,10375,9900,368914
2015-05-28,10100,10400,10425,9800,683052
2015-05-29,10450,9850,10500,9850,550622
2015-06-01,9700,9550,9875,9550,407342
2015-06-02,9550,9225,9975,9225,569986
2015-06-03,9300,9025,9350,8500,398888
2015-06-04,9200,9250,9325,8950,371050
2015-06-05,9075,9350,9450,9050,165558
2015-06-08,9275,9025,9350,9025,243442
2015-06-09,9150,9025,9175,8800,203306
2015-06-10,9050,9675,9850,9025,600024
2015-06-11,9575,9500,9675,9250,227028
2015-06-12,9475,9350,9700,9200,241748
2015-06-15,9325,9075,9375,9025,255710
2015-06-16,8975,9050,9200,8750,169924
2015-06-17,9050,9500,9600,9000,282566
2015-06-18,9625,9975,10000,9425,346210
2015-06-19,10050,10000,10275,9775,351674
2015-06-22,10050,9400,10075,9400,926710
2015-06-23,9675,9575,9875,9450,378850
2015-06-24,9775,9850,10050,9550,384722
2015-06-25,9775,9850,9900,9550,305620
2015-06-26,9850,10025,10275,9825,574216
2015-06-29,9750,9575,9850,9350,406492
2015-06-30,9350,9500,9550,9050,240772
2015-07-01,9500,9425,9625,9400,231926
2015-07-02,9525,9400,9525,9250,177890
2015-07-03,9375,9200,9475,9200,126400
2015-07-06,9000,9025,9400,8900,321940
2015-07-07,9050,9000,9250,8750,313262
2015-07-08,9175,8850,9175,8750,198922
2015-07-09,8775,8450,8800,8375,324888
2015-07-10,8475,8450,8675,8400,143328
2015-07-13,8400,8725,8775,8275,313486
2015-07-14,8750,8750,8925,8575,200168
2015-07-15,8800,8975,9050,8775,216586
2015-07-16,9175,9600,9675,9100,720864
2015-07-17,9600,9475,9600,9350,217966
2015-07-20,9500,9600,9800,9450,215428
2015-07-21,9650,9575,9875,9450,229238
2015-07-22,9500,9650,9675,9425,158074
2015-07-23,9650,10100,10300,9525,613384
2015-07-24,10150,10000,10425,9875,372842
2015-07-27,10025,9875,10025,9425,279116
2015-07-28,9650,9900,9950,9500,241554
2015-07-29,10000,9950,10125,9800,218174
2015-07-30,9900,9675,10000,9500,197496
2015-07-31,9825,9800,9925,9600,171644
2015-08-03,9750,9775,10075,9750,166890
2015-08-04,9775,9900,10125,9675,173020
2015-08-05,9925,10050,10050,9825,207976
2015-08-06,10125,9775,10325,9750,454252
2015-08-07,9700,9600,9875,9575,185442
2015-08-10,9675,9625,9675,9300,177960
2015-08-11,9575,9725,9975,9500,189786
2015-08-12,9575,9650,9950,8900,351552
2015-08-13,9750,9525,9825,9400,175682
2015-08-17,9575,9275,9575,9175,155600
2015-08-18,9375,8750,9375,8750,242480
2015-08-19,8575,8450,8700,8225,314594
2015-08-20,8450,8525,8975,8350,175810
2015-08-21,8225,8325,8400,8050,223978
2015-08-24,8125,7775,8400,7775,210186
2015-08-25,7825,7950,8200,7650,202252
2015-08-26,7925,8300,8350,7900,136876
2015-08-27,8375,8100,8425,8100,142886
2015-08-28,8200,8225,8350,8100,123054
2015-08-31,8200,8400,8400,8125,63766
2015-09-01,8675,8450,8800,8425,192390
2015-09-02,8225,8500,8575,8200,92686
2015-09-03,8575,8450,8825,8425,104584
2015-09-04,8475,8025,8500,7900,147820
2015-09-07,8150,8050,8200,8000,61204
2015-09-08,8050,8375,8500,8050,124138
2015-09-09,8425,8550,8750,8425,97600
2015-09-10,8400,8550,8550,8375,64730
2015-09-11,8575,8425,8575,8250,70828
2015-09-14,8425,8225,8425,8100,101390
2015-09-15,8250,8150,8275,8075,84658
2015-09-16,8250,8350,8450,8150,83888
2015-09-17,8425,8275,8425,8175,60366
2015-09-18,8350,8275,8350,8225,59468
2015-09-21,8200,8200,8325,8100,78886
2015-09-22,8200,8200,8275,8125,59036
2015-09-23,8225,8100,8525,8100,108288
2015-09-24,8125,8100,8225,8050,61294
2015-09-25,8075,8100,8150,7925,103426
2015-09-30,8050,8150,8200,7950,52456
2015-10-01,8175,8200,8250,8125,56292
2015-10-02,8225,8325,8450,8200,159860
2015-10-05,8325,8400,8500,8275,97520
2015-10-06,8475,8275,8475,8200,75658
2015-10-07,8250,8150,8300,8050,90534
2015-10-08,8075,8000,8150,8000,74188
2015-10-12,8050,7850,8050,7825,98764
2015-10-13,7925,7775,7950,7775,65228
2015-10-14,7850,7450,7875,7300,203234
2015-10-15,7500,7475,7600,7350,104696
2015-10-16,7500,7525,7650,7500,81612
2015-10-19,7600,7400,7600,7375,85012
2015-10-20,7425,7475,7600,7400,94780
2015-10-21,7500,7775,8425,7450,535366
2015-10-22,7850,7725,7900,7650,132366
2015-10-23,7800,7675,7950,7650,99848
2015-10-26,7675,7575,7800,7550,90706
2015-10-27,7625,7550,7675,7475,71184
2015-10-28,7600,7575,7725,7500,73650
2015-10-29,7625,7525,7700,7500,51068
2015-10-30,7575,7525,7600,7375,78392
2015-11-02,7600,7625,7750,7450,75810
2015-11-03,7700,7625,7750,7575,68788
2015-11-04,7650,7450,7675,7450,95272
