Date,Open,Close,High,Low,Volume
2014-12-12,25150,21500,26000,21400,1280243
2014-12-15,21800,22700,24100,21100,451972
2014-12-16,22700,21300,23400,20900,175349
2014-12-17,21250,21000,21850,21000,88002
2014-12-18,21000,22450,22750,20700,217472
2014-12-19,22450,23400,23500,21750,143151
2014-12-22,23400,25300,26850,23200,225917
2014-12-23,24600,24850,25850,24100,92958
2014-12-24,24600,26300,27300,24550,231032
2014-12-26,26300,26050,26550,25000,89765
2014-12-29,25950,25250,26100,25050,43697
2014-12-30,25100,25150,25400,24200,55581
2015-01-02,25200,25100,25550,24300,43557
2015-01-05,24900,26400,26400,24550,56017
2015-01-06,26200,26500,27000,25900,84197
2015-01-07,26550,26100,26800,25900,36653
2015-01-08,26000,26100,26400,25700,22948
2015-01-09,26100,25300,26650,24800,39869
2015-01-12,24550,25650,25850,24550,33428
2015-01-13,25400,26300,26800,25300,55953
2015-01-14,26500,28100,28100,25550,71176
2015-01-15,28450,29500,29850,27950,130358
2015-01-16,29500,29500,30700,28500,86112
2015-01-19,30500,32800,33900,30350,343758
2015-01-20,33100,34100,34450,32050,148667
2015-01-21,33800,33850,34500,33400,65612
2015-01-22,34650,33500,34650,33000,79737
2015-01-23,33150,33250,33500,31800,116370
2015-01-26,33200,36000,36500,32750,171571
2015-01-27,35500,37500,38900,35300,119241
2015-01-28,37100,38000,39200,37100,50041
2015-01-29,37900,36650,38400,36400,51783
2015-01-30,36350,35200,37500,34050,101329
2015-02-02,34650,35000,35700,33750,44796
2015-02-03,35050,35000,35600,33350,60840
2015-02-04,35300,38350,40200,33800,146138
2015-02-05,39350,39800,41200,38400,141095
2015-02-06,40300,41950,42500,39600,150996
2015-02-09,42650,40600,42950,39700,96889
2015-02-10,40200,42000,42800,39250,103273
2015-02-11,42050,41350,42450,40500,77485
2015-02-12,40750,40450,41000,39350,100786
2015-02-13,39850,44000,45000,39550,352839
2015-02-16,43850,42250,46400,42250,224541
2015-02-17,41400,41600,42250,39000,125078
2015-02-23,41600,42000,44450,39900,96922
2015-02-24,42400,46000,46700,42000,244323
2015-02-25,47000,44300,47600,43900,106380
2015-02-26,43900,44650,45750,43000,74425
2015-02-27,44650,43500,45200,43200,66357
2015-03-02,42650,42300,43250,41500,70706
2015-03-03,42000,41000,43700,41000,81478
2015-03-04,40600,41050,41800,40300,63841
2015-03-05,41500,40900,41850,40800,50511
2015-03-06,41950,43300,43650,40800,143593
2015-03-09,44300,44500,45600,43300,151143
2015-03-10,45250,42650,45400,41350,127074
2015-03-11,42600,41800,42650,40700,75880
2015-03-12,42100,41350,42450,41250,63592
2015-03-13,41250,41350,41850,40400,76070
2015-03-16,41400,40850,42000,40500,51913
2015-03-17,40900,41600,43300,40700,126933
2015-03-18,42150,40400,42200,39950,65462
2015-03-19,40700,39500,40700,37350,112109
2015-03-20,38700,40200,41400,37900,92065
2015-03-23,40200,40200,41300,39400,47045
2015-03-24,40200,41450,41550,39700,58914
2015-03-25,42000,43600,43800,41050,140278
2015-03-26,42500,41000,42800,40450,97391
2015-03-27,41400,39750,41400,39350,28577
2015-03-30,40450,38950,40450,38650,38185
2015-03-31,39350,39150,40250,38500,43969
2015-04-01,39150,38700,39150,38300,40985
2015-04-02,39650,38200,39800,37850,58796
2015-04-03,38600,37650,38700,36950,64544
2015-04-06,37500,37550,37950,36750,37697
2015-04-07,38100,39500,40250,38000,143922
2015-04-08,39900,39550,40450,38750,81942
2015-04-09,39950,41000,41950,39950,99517
2015-04-10,41300,40700,42800,40500,63540
2015-04-13,40800,45900,46350,40600,255880
2015-04-14,45800,45000,46250,44000,150147
2015-04-15,44950,43800,44950,42550,484915
2015-04-16,47000,46200,48050,44850,315157
2015-04-17,46000,46200,46400,43750,150235
2015-04-20,44500,46350,47750,44050,163137
2015-04-21,46400,46400,49000,45400,139254
2015-04-22,45300,47750,50600,44100,257464
2015-04-23,48000,45450,48100,44000,105562
2015-04-24,45950,44200,46400,43650,73547
2015-04-27,43750,43250,44850,43250,54464
2015-04-28,43450,41000,43450,40650,137246
2015-04-29,41400,41700,42700,40700,96568
2015-04-30,41500,39900,41550,38600,136378
2015-05-04,39700,37350,39700,36700,77804
2015-05-06,37300,32500,37300,31750,329519
2015-05-07,33500,34900,35100,33000,207197
2015-05-08,34400,36950,38300,34200,124540
2015-05-11,37950,37950,38500,36000,81338
2015-05-12,38450,37800,39300,37000,61811
2015-05-13,37850,37750,37900,36200,38943
2015-05-14,37750,38550,41650,37300,100449
2015-05-15,38900,38650,39450,37800,61669
2015-05-18,38750,37000,38750,35650,80806
2015-05-19,37000,37200,37950,36000,63445
2015-05-20,37500,39200,39550,36600,112698
2015-05-21,39850,39450,41100,38700,92114
2015-05-22,39500,39000,39950,37000,81660
2015-05-26,39000,37200,39000,35300,111171
2015-05-27,36550,37350,38000,36150,47927
2015-05-28,37100,36150,37900,35550,87827
2015-05-29,35900,38400,38950,35700,72756
2015-06-01,38350,39500,40200,37000,82456
2015-06-02,41500,43000,43750,39500,348666
2015-06-03,43400,42750,44700,40150,130801
2015-06-04,43050,43300,45450,41850,125117
2015-06-05,42050,42250,43400,41350,68258
2015-06-08,42800,42750,43100,41600,54344
2015-06-09,43600,44300,44750,43200,83597
2015-06-10,44500,41900,44500,41400,88660
2015-06-11,41650,41500,41700,40000,79662
2015-06-12,42050,40950,42750,40500,64261
2015-06-15,40800,41100,42200,40200,66137
2015-06-16,41650,44000,45800,41650,189435
2015-06-17,44000,45000,46700,44000,138817
2015-06-18,45500,46550,46700,44350,82970
2015-06-19,46800,45900,47600,45750,89108
2015-06-22,45750,43400,46000,42950,114107
2015-06-23,43500,43550,44300,43000,92966
2015-06-24,44000,48550,49950,44000,242201
2015-06-25,48550,56300,57600,48100,433977
2015-06-26,56300,55900,59400,55100,286327
2015-06-29,53800,52000,56200,51500,148445
2015-06-30,51200,52100,53100,47550,233026
2015-07-01,52000,54700,56300,49800,214216
2015-07-02,55500,55100,58200,53500,165040
2015-07-03,55400,55600,56800,52900,138809
2015-07-06,54400,53200,57500,52000,165218
2015-07-07,54100,44100,56600,43700,355368
2015-07-08,44500,44500,45500,41350,176739
2015-07-09,43200,46300,47000,42000,117038
2015-07-10,47100,46400,48000,46150,91470
2015-07-13,48500,47800,49950,46600,97012
2015-07-14,48800,50700,51500,47900,115644
2015-07-15,51400,52000,54400,50900,171988
2015-07-16,52200,52300,53000,50200,67589
2015-07-17,52800,51500,54300,51100,51620
2015-07-20,52300,55000,55900,49700,108999
2015-07-21,56500,59800,59800,54600,173758
2015-07-22,58200,56300,59300,56000,158930
2015-07-23,58300,55600,59600,55300,136826
2015-07-24,55600,56100,57100,53700,93917
2015-07-27,54900,53000,55600,52000,69447
2015-07-28,51300,53900,53900,46500,90101
2015-07-29,54800,48800,55300,48800,70217
2015-07-30,49600,45250,50300,44950,84942
2015-07-31,43650,46950,47000,43650,107783
2015-08-03,46250,44300,46600,43900,31284
2015-08-04,43600,43400,44700,42450,116194
2015-08-05,43150,43550,44600,42250,124434
2015-08-06,44200,45950,47550,44050,125540
2015-08-07,45000,45000,45850,44100,43738
2015-08-10,45400,43900,45400,43350,31825
2015-08-11,44600,41500,44600,41300,52292
2015-08-12,40300,38000,40800,35300,148049
2015-08-13,38100,39800,40150,37900,64764
2015-08-17,39650,38400,39950,38000,32870
2015-08-18,38450,35150,39050,35150,78873
2015-08-19,34200,35200,35900,31750,85289
2015-08-20,34600,33000,36400,33000,62105
2015-08-21,30050,30400,32100,29300,132784
2015-08-24,30100,27700,31900,27300,140507
2015-08-25,28750,29500,30600,27000,269976
2015-08-26,29700,32800,33350,29400,190642
2015-08-27,33600,33050,35400,32250,165497
2015-08-28,34200,33350,34400,33250,53807
2015-08-31,33250,32700,33850,32650,36777
2015-09-01,32700,32100,33100,31750,35995
2015-09-02,31100,31800,32100,30800,41868
2015-09-03,32550,32400,34800,31900,75663
2015-09-04,32950,31200,33850,30350,74744
2015-09-07,30800,29700,31650,29400,54232
2015-09-08,29700,28600,30400,28100,52205
2015-09-09,29550,31200,31400,29450,55500
2015-09-10,30400,31300,31300,30100,35498
2015-09-11,31350,31650,32200,30400,31045
2015-09-14,31850,30000,32200,29750,48521
2015-09-15,29850,30400,30650,29700,31966
2015-09-16,30800,31700,31750,30050,86839
2015-09-17,32150,30500,32400,30350,70038
2015-09-18,30900,33250,33450,30650,102002
2015-09-21,32700,33250,34350,32400,109986
2015-09-22,33900,33050,34100,32550,46408
2015-09-23,32600,32550,33000,31650,46186
2015-09-24,32750,32500,33000,31500,33551
