Date,Open,Close,High,Low,Volume
2015-08-24,11400,8000,12500,8000,4600660
2015-08-25,8200,8030,8700,7570,2586200
2015-08-26,8270,8440,9640,8170,3356800
2015-08-27,8580,8360,9030,8260,1131859
2015-08-28,8550,8170,8580,8090,813367
2015-08-31,8210,7680,8370,7680,553929
2015-09-01,7700,7610,8170,7570,561273
2015-09-02,7380,7530,7780,7320,213929
2015-09-03,7650,7460,7950,7460,268024
2015-09-04,7570,7350,7780,7290,353047
2015-09-07,7350,7170,7500,7100,217802
2015-09-08,7180,6500,7250,6500,293563
2015-09-09,6680,6790,6980,6510,257476
2015-09-10,6700,6880,7120,6670,223717
2015-09-11,6900,6660,7140,6660,201542
2015-09-14,6740,6560,6770,6560,115041
2015-09-15,6620,6710,7000,6620,212040
2015-09-16,6780,6760,6900,6610,201515
2015-09-17,6810,6690,6850,6680,133711
2015-09-18,6760,7250,7680,6670,694177
2015-09-21,7250,7340,7450,7080,171952
2015-09-22,7430,7170,7430,7170,143024
2015-09-23,7130,7130,7270,6870,158998
2015-09-24,7050,6970,7190,6910,141889
2015-09-25,6930,7030,7060,6750,60272
2015-09-30,6830,7000,7020,6830,65896
2015-10-01,7100,7180,7330,7000,159953
2015-10-02,7180,7210,7340,7130,100728
2015-10-05,7320,7750,8170,7160,467621
2015-10-06,7700,7830,8150,7610,329249
2015-10-07,7770,7620,7870,7570,147544
2015-10-08,7630,7370,7670,7340,131925
2015-10-12,7310,7220,7450,7200,65256
2015-10-13,7220,7370,7390,7180,63588
2015-10-14,7330,7260,7450,7250,55935
2015-10-15,7170,7230,7260,7070,77734
2015-10-16,7300,7320,7370,7120,52710
2015-10-19,7410,7650,7980,7390,196948
2015-10-20,7680,7440,7830,7400,129504
2015-10-21,7500,7240,7500,7240,54468
2015-10-22,7240,7160,7320,7030,63354
2015-10-23,7190,7200,7340,7120,39251
2015-10-26,7130,7160,7290,7120,34481
2015-10-27,7110,7120,7250,7100,36450
2015-10-28,7190,7180,7240,7080,38948
2015-10-29,7260,7170,7280,7120,69373
2015-10-30,7180,6940,7180,6940,61620
2015-11-02,6900,6650,6940,6650,61280
2015-11-03,6850,6620,6850,6530,38226
2015-11-04,6540,6700,6760,6540,20555
2015-11-05,6710,6780,6910,6650,19778
2015-11-06,6730,6740,6810,6580,28009
2015-11-09,6790,6510,6800,6490,47258
2015-11-10,6630,6020,6630,6000,107183
2015-11-11,6160,6070,6160,5930,41958
2015-11-12,6160,6070,6200,5950,55195
2015-11-13,5860,6020,6020,5460,132409
2015-11-16,5900,6000,6090,5740,66302
2015-11-17,6100,5910,6110,5910,27999
2015-11-18,5910,5920,6070,5840,20171
2015-11-19,5980,5930,6030,5870,28868
2015-11-20,5930,6070,6280,5900,25012
2015-11-23,6080,6070,6250,6070,10624
2015-11-24,6070,5830,6200,5720,140480
2015-11-25,7060,7570,7570,6820,3197289
2015-11-26,7330,7000,7780,6960,1725041
2015-11-27,7060,6970,7150,6810,398100
2015-11-30,7010,6700,7100,6650,237418
2015-12-01,6720,6540,6830,6450,274647
