Date,Open,Close,High,Low,Volume
2016-09-13,12362,12396,12421,12362,156
2016-09-19,12362,12474,12474,12362,85
2016-09-20,12469,12411,12469,12372,2143
2016-09-21,12411,12572,12572,12411,230
2016-09-22,12640,12665,12758,12640,896
2016-09-23,12680,12719,12733,12650,494
2016-09-26,12640,12640,12719,12640,167
2016-09-27,12567,12704,12709,12504,986
2016-09-28,12704,12728,12753,12694,59
2016-09-29,12821,12851,12851,12782,98
2016-09-30,12733,12694,12733,12631,526
2016-10-04,12728,12733,12738,12724,279
2016-10-05,12631,12728,12728,12587,237
2016-10-06,12743,12733,12743,12709,353
2016-10-07,12733,12660,12733,12660,233
2016-10-10,12782,12709,12782,12704,187
2016-10-11,12728,12645,12797,12626,174
2016-10-12,12606,12592,12650,12562,148
2016-10-13,12626,12440,12626,12416,592
2016-10-14,12484,12538,12538,12484,151
2016-10-17,12533,12616,12616,12499,261
2016-10-18,12616,12645,12675,12616,89
2016-10-19,12650,12616,12684,12601,152
2016-10-20,12670,12665,12704,12631,254
2016-10-21,12665,12596,12665,12596,1176
2016-10-24,12660,12684,12684,12660,11
2016-10-25,12684,12714,12768,12680,195
2016-10-26,12670,12567,12670,12523,563
2016-10-27,12645,12645,12684,12640,334
2016-10-28,12689,12689,12699,12670,5620
2016-10-31,12645,12665,12665,12567,1347
2016-11-01,12557,12626,12626,12513,777
2016-11-02,12553,12465,12572,12435,6354
2016-11-03,12440,12425,12460,12401,157
2016-11-04,12406,12372,12406,12357,302
2016-11-07,12489,12587,12587,12489,754
2016-11-08,12660,12577,12660,12548,37
2016-11-09,12660,12284,12660,12152,1563
2016-11-10,12474,12543,12543,12474,389
2016-11-11,12430,12401,12450,12362,15561
2016-11-14,12391,12303,12391,12303,830
2016-11-15,12303,12250,12303,12250,343
2016-11-16,12377,12328,12377,12274,3748
2016-11-17,12250,12308,12308,12230,63
2016-11-18,12168,12177,12192,12110,195
2016-11-21,12153,12211,12211,12124,505
2016-11-22,12216,12317,12317,12216,256
2016-11-23,12245,12409,12409,12245,57
2016-11-24,12322,12279,12322,12250,1758
2016-11-25,12322,12284,12322,12284,37
2016-11-28,12245,12317,12317,12245,96634
2016-11-29,12298,12298,12298,12298,265
2016-11-30,12313,12313,12313,12313,10
2016-12-01,12317,12284,12317,12260,4443
2016-12-02,12274,12168,12274,12168,296
2016-12-05,12163,12197,12197,12129,93
2016-12-06,12245,12313,12371,12245,734
2016-12-07,12317,12313,12361,12313,110
2016-12-08,12419,12573,12573,12419,1961
2016-12-09,12627,12622,12641,12573,4689
2016-12-12,12636,12631,12694,12559,21447
2016-12-13,12631,12612,12631,12602,625
2016-12-14,12694,12627,12694,12622,20
2016-12-15,12540,12694,12694,12540,5999
2016-12-16,12617,12651,12694,12617,15562
2016-12-19,12694,12699,12699,12665,394
2016-12-20,12699,12636,12699,12631,362
2016-12-21,12723,12728,12728,12723,1059
2016-12-22,12660,12593,12660,12593,253
2016-12-23,12593,12602,12612,12593,100
2016-12-26,12602,12578,12627,12578,111
2016-12-27,12598,12617,12617,12598,852
2016-12-28,12733,12718,12733,12670,333
2016-12-29,12699,12800,12800,12699,25
2017-01-02,12728,12829,12829,12728,86
2017-01-03,12858,12878,12878,12834,64
2017-01-04,12878,12945,12945,12878,26412
2017-01-05,12940,12940,12940,12921,2232
2017-01-06,12887,12940,12955,12887,2837
2017-01-09,12921,12936,12936,12911,42
2017-01-10,12878,12940,12940,12878,45
2017-01-11,12984,13162,13162,12984,46857
2017-01-12,13167,13245,13245,13167,112
2017-01-13,13220,13182,13225,13182,954
2017-01-16,13148,13172,13187,13109,11396
2017-01-17,13172,13191,13220,13172,48616
2017-01-18,13191,13158,13191,13105,196
2017-01-19,13158,13162,13230,13076,202
2017-01-20,13129,13109,13129,13085,1122
2017-01-23,13061,13037,13114,13037,183
2017-01-24,13037,13047,13047,13027,40
2017-01-25,13095,13080,13095,13032,935
2017-01-26,13056,13177,13177,13056,228258
2017-01-31,13071,13008,13090,13008,1584
2017-02-01,13042,13109,13109,13042,258
2017-02-02,13114,13056,13162,13056,1590
2017-02-03,13124,13066,13124,12984,735
2017-02-06,13061,13061,13061,13061,62
2017-02-07,13085,13114,13114,13047,157
2017-02-08,13095,13047,13095,12974,39389
2017-02-09,13013,13100,13105,13008,278
2017-02-10,13162,13153,13162,13153,49
2017-02-13,13114,13153,13153,13114,48
2017-02-14,13138,13080,13138,13076,5301
2017-02-15,13032,13167,13172,13032,260
2017-02-16,13172,13153,13177,13134,48
2017-02-17,13100,13172,13172,13100,69
2017-02-20,13191,13119,13191,13119,94
2017-02-21,13196,13264,13322,13196,4398
2017-02-22,13312,13283,13336,13283,1424
2017-02-23,13351,13375,13375,13346,129
2017-02-24,13365,13269,13365,13211,194
2017-02-27,13269,13235,13278,13143,695
