Date,Open,Close,High,Low,Volume
2016-11-03,25500,21350,29800,20850,2395285
2016-11-04,21350,17950,21500,17650,617451
2016-11-07,18150,18200,19200,16900,419032
2016-11-08,18550,18650,20400,18250,836207
2016-11-09,18800,16700,19350,15700,392860
2016-11-10,17550,18550,21100,17400,649565
2016-11-11,18800,18900,19650,18250,151325
2016-11-14,18700,18400,19200,18400,63374
2016-11-15,18400,18100,18600,17650,65508
2016-11-16,18200,19500,21250,18100,591585
2016-11-17,19600,19350,19650,18900,79792
2016-11-18,19300,18150,19300,18100,89580
2016-11-21,18050,18000,18800,17850,43724
2016-11-22,18100,17350,18350,17350,35379
2016-11-23,17300,16300,17650,15700,85224
2016-11-24,16500,16300,16500,15350,43819
2016-11-25,16250,15750,16600,15750,28729
2016-11-28,15950,15700,16300,15550,32269
2016-11-29,15750,16200,17300,15500,70854
2016-11-30,16200,17800,19800,16050,483919
2016-12-01,17900,16850,17900,16800,71600
2016-12-02,16750,15800,16750,15800,58954
2016-12-05,15650,15400,16250,15400,22524
2016-12-06,15500,15750,16450,15400,66770
2016-12-07,15900,15150,15950,15050,41641
2016-12-08,15150,15650,17200,15150,132353
2016-12-09,15900,15900,15950,15450,22044
2016-12-12,16200,16050,16200,15800,34420
2016-12-13,16150,16650,17250,15850,50460
2016-12-14,16850,17000,17300,16600,47935
2016-12-15,17200,17450,18450,16950,60122
2016-12-16,17650,17700,18200,17300,49020
2016-12-19,17700,17300,18100,17200,21723
2016-12-20,17500,16450,17550,16450,35855
2016-12-21,16550,16450,16750,16400,12388
2016-12-22,16450,16100,16700,16100,11642
2016-12-23,16300,16850,16850,16000,20363
2016-12-26,17000,17500,17700,16900,40494
2016-12-27,17500,17200,17900,17200,24375
2016-12-28,17350,17150,17600,17150,9442
2016-12-29,16900,17050,17400,16800,12827
2017-01-02,16900,16500,17300,16400,24235
2017-01-03,16700,16900,16900,16450,22214
2017-01-04,16800,17200,17700,16800,34109
2017-01-05,17350,17450,17750,17150,18625
2017-01-06,17350,17250,17500,17150,11675
2017-01-09,17250,17050,17500,17050,12060
2017-01-10,16900,16500,17200,16400,19713
2017-01-11,16500,15750,16700,15750,39452
2017-01-12,16150,15850,16200,15650,12803
2017-01-13,15850,15850,16050,15700,24650
2017-01-16,15950,16150,16600,15850,18836
2017-01-17,16100,16000,16200,15950,11343
