Date,Open,Close,High,Low,Volume
2016-09-13,100930,100930,100950,100915,51022
2016-09-19,100950,100920,100950,100920,4
2016-09-20,100930,100945,100945,100930,2
2016-09-21,100950,100955,100955,100945,4
2016-09-22,100975,100985,100995,100965,26
2016-09-23,100975,100980,100980,100945,3
2016-09-26,100975,100975,100975,100975,13
2016-09-27,100970,100965,100970,100960,4
2016-09-28,100970,100970,100970,100970,1
2016-09-29,100975,101010,101010,100975,3
2016-09-30,101010,101050,101050,101010,6
2016-10-04,101020,101020,101020,101020,2
2016-10-05,101000,100975,101000,100935,7
2016-10-06,100980,100980,100980,100950,106
2016-10-07,100975,100980,100980,100975,2
2016-10-10,100975,100945,100975,100945,6
2016-10-11,100935,100940,100940,100935,11
2016-10-12,100950,100950,100950,100950,1
2016-10-13,100960,100980,100980,100960,2
2016-10-14,100970,100970,100970,100970,1
2016-10-17,100920,100945,100945,100920,45
2016-10-18,100950,100945,100950,100910,272
2016-10-19,100950,100945,100955,100945,7
2016-10-20,100945,100945,100945,100945,50
2016-10-21,100935,100935,100935,100935,0
2016-10-24,100875,100920,100920,100875,51
2016-10-25,100900,100900,100900,100900,0
2016-10-26,100900,100900,100900,100900,1
2016-10-27,100925,100930,100930,100925,2
2016-10-28,100890,100915,100925,100890,10
2016-10-31,100885,100885,100885,100885,1
2016-11-01,100855,100855,100855,100855,1
2016-11-02,101090,100900,101090,100890,3
2016-11-03,100910,100910,100910,100910,1
2016-11-04,100910,100910,100910,100910,1
2016-11-07,100910,100910,100910,100910,0
2016-11-08,100920,100930,100935,100895,78
2016-11-09,100930,100960,100980,100915,28
2016-11-10,100970,100910,100970,100910,241
2016-11-11,100910,100910,100910,100910,1
2016-11-14,100885,100885,100885,100885,1
2016-11-15,100810,100840,100840,100810,11
2016-11-16,100810,100810,100810,100810,1
2016-11-17,100725,100750,100750,100725,2
2016-11-18,100795,100705,100795,100705,2
2016-11-21,100710,100720,100720,100710,12
2016-11-22,100895,100895,100895,100895,1
2016-11-23,100710,100700,100710,100675,6
2016-11-24,100640,100675,100675,100640,12
2016-11-25,100600,100625,100625,100565,12
2016-11-28,100655,100685,100685,100655,2
2016-11-29,100710,100720,100720,100710,2
2016-11-30,100740,100740,100740,100740,1
2016-12-01,100735,100735,100735,100735,0
2016-12-02,100755,100755,100755,100755,4
2016-12-05,100725,100740,100740,100725,6
2016-12-06,100760,100760,100760,100760,0
2016-12-07,100740,100740,100740,100740,7
2016-12-08,100800,100800,100800,100800,1
2016-12-09,100795,100795,100795,100795,164
2016-12-12,100825,100825,100825,100825,0
2016-12-13,100870,100840,100870,100840,3
2016-12-14,100880,100880,100880,100880,28
2016-12-15,100880,100880,100880,100880,0
2016-12-16,100925,100925,100925,100925,1
2016-12-19,100905,100900,100905,100895,13013
2016-12-20,100900,100900,100900,100900,0
2016-12-21,100900,100900,100900,100900,0
2016-12-22,100930,100915,100930,100915,11690
2016-12-23,100940,100940,100940,100940,0
2016-12-26,100955,100930,100955,100930,1033
2016-12-27,100935,100945,100945,100935,16
2016-12-28,100990,100970,100990,100970,159324
2016-12-29,101040,101040,101040,101040,2
2017-01-02,101020,101020,101020,101020,40
2017-01-03,101035,101050,101050,101035,16
2017-01-04,101090,101095,101095,101085,298
2017-01-05,101130,101130,101130,101130,1
2017-01-06,101125,101125,101125,101125,0
2017-01-09,101095,101095,101095,101095,2
2017-01-10,101105,101115,101125,101105,18
2017-01-11,101145,101145,101145,101145,1
2017-01-12,101160,101160,101160,101160,0
2017-01-13,101160,101160,101160,101160,0
2017-01-16,101165,101165,101165,101165,0
2017-01-17,101190,101190,101190,101190,10
2017-01-18,101195,101190,101195,101190,322
2017-01-19,101200,101200,101200,101200,0
2017-01-20,101235,101235,101235,101235,13
2017-01-23,101200,101135,101200,101135,27
2017-01-24,101185,101185,101185,101185,1
2017-01-25,101225,101220,101225,101220,62
2017-01-26,101185,101195,101195,101185,702
2017-01-31,101205,101210,101210,101205,367
2017-02-01,101235,101235,101235,101235,1
2017-02-02,101225,101230,101230,101185,29802
2017-02-03,101235,101235,101235,101235,50
2017-02-06,101255,101255,101255,101255,10
2017-02-07,101280,101285,101285,101280,2
2017-02-08,101285,101285,101285,101285,0
2017-02-09,101305,101320,101320,101305,199
2017-02-10,101320,101320,101320,101320,0
2017-02-13,101315,101315,101315,101315,0
2017-02-14,101335,101325,101335,101325,9
2017-02-15,101325,101325,101325,101325,0
2017-02-16,101335,101335,101335,101335,240
2017-02-17,101355,101350,101360,101350,507
2017-02-20,101325,101320,101325,101320,1009
2017-02-21,101360,101350,101365,101350,3805
2017-02-22,101375,101345,101380,101345,102
2017-02-23,101400,101415,101415,101400,3
2017-02-24,101385,101385,101395,101385,408
2017-02-27,101390,101385,101390,101385,14
2017-02-28,101395,101385,101395,101385,213
2017-03-02,101365,101365,101365,101365,10
2017-03-03,101375,101375,101375,101375,4
2017-03-06,101385,101345,101385,101345,451
2017-03-07,101370,101315,101370,101315,12
2017-03-08,101290,101290,101295,101290,5
2017-03-09,101305,101300,101305,101300,2
2017-03-10,101305,101310,101310,101295,11
2017-03-13,101415,101415,101415,101415,2
2017-03-14,101375,101385,101385,101370,3751
2017-03-15,101385,101380,101385,101375,159
2017-03-16,101390,101415,101420,101390,3105
2017-03-17,101420,101425,101425,101415,203
2017-03-20,101435,101425,101435,101420,12
2017-03-21,101430,101430,101445,101430,1010
2017-03-22,101435,101430,101440,101430,6
2017-03-23,101435,101440,101440,101435,23
2017-03-24,101390,101395,101395,101390,6
