Date,Open,Close,High,Low,Volume
2016-09-13,12920,12950,13110,12905,20441
2016-09-19,13130,13430,13535,13130,10963
2016-09-20,13535,13410,13535,13285,7194
2016-09-21,13410,13600,13655,13410,1987
2016-09-22,13800,13815,14360,13780,1794
2016-09-23,13815,13750,13830,13655,1020
2016-09-26,13745,13620,13745,13610,377
2016-09-27,13535,13900,13935,13535,194
2016-09-28,13900,13975,14045,13900,472
2016-09-29,14065,14155,14165,13975,4041
2016-09-30,13780,14010,14045,13780,6040
2016-10-04,14010,14085,14140,14010,2044
2016-10-05,14080,14330,14330,13900,6276
2016-10-06,14375,14640,14740,14375,7493
2016-10-07,14640,14515,14640,14405,2840
2016-10-10,14625,14520,14625,14325,1763
2016-10-11,14200,13905,14485,13880,25564
2016-10-12,13705,13810,13900,13670,9310
2016-10-13,13865,13605,13865,13605,14151
2016-10-14,13115,13790,13790,13115,5072
2016-10-17,14360,13910,14360,13665,3721
2016-10-18,13910,13750,13910,13740,2431
2016-10-19,13820,13660,13870,13635,5358
2016-10-20,13655,13705,13710,13600,1665
2016-10-21,13700,13635,13700,13625,430
2016-10-24,13635,13610,13645,13610,1942
2016-10-25,13800,13780,13800,13780,3557
2016-10-26,13780,13845,13845,13640,3777
2016-10-27,13840,13930,14050,13835,2872
2016-10-28,14035,13945,14140,13875,1665
2016-10-31,13940,13765,13940,13270,4462
2016-11-01,13645,13810,13810,13645,502
2016-11-02,13630,13430,13630,13400,240
2016-11-03,13355,13320,13430,13270,87
2016-11-04,13240,13165,13250,13165,1255
2016-11-07,13170,13590,13590,13170,304
2016-11-08,13500,13515,14255,13500,503
2016-11-09,13660,12940,13660,12680,3345
2016-11-10,13365,13270,13365,13145,544
2016-11-11,13265,12525,13265,12460,2080
2016-11-14,12525,12215,12525,12215,626
2016-11-15,12315,12260,12410,12260,4619
2016-11-16,12260,12490,12555,12260,867
2016-11-17,12530,12670,12690,12530,332
2016-11-18,12815,12835,12885,12750,3603
2016-11-21,12835,12885,12885,12795,238
2016-11-22,12885,13430,13430,12885,3605
2016-11-23,13490,13500,13580,13360,2621
2016-11-24,12850,13255,13300,12850,886
2016-11-25,13285,13315,13315,13225,2788
2016-11-28,13870,13530,13870,13200,1144
2016-11-29,13525,13505,13525,13395,1117
2016-11-30,13505,13815,13835,13490,296107
2016-12-01,13655,13740,13765,13620,333
2016-12-02,13120,13450,13485,13120,669
2016-12-05,13275,13395,13405,13275,106
2016-12-06,13410,13650,13670,13410,1229
2016-12-07,13650,13855,13900,13650,490
2016-12-08,13860,14190,14325,13860,10515
2016-12-09,14325,14400,14400,14280,9122
2016-12-12,14430,14230,14430,14155,690
2016-12-13,14145,14280,14280,14110,337
2016-12-14,14350,14475,14560,14350,1320
2016-12-15,14480,14545,14545,14360,633
2016-12-16,14630,14760,14760,14630,892
2016-12-19,14755,14780,14880,14730,6663
2016-12-20,14755,14755,14870,14725,743
2016-12-21,14900,14760,14910,14760,977
2016-12-22,14875,14850,15035,14800,511
2016-12-23,14890,14820,14890,14745,3425
2016-12-26,14800,14795,14865,14765,1269
2016-12-27,14840,14850,14865,14775,3764
2016-12-28,14985,14975,15060,14975,2929
2016-12-29,14765,15000,15000,14765,476
2017-01-02,15000,15155,15155,14975,2320
2017-01-03,15155,15635,15660,15155,3550
2017-01-04,15820,15690,15855,15660,5678
2017-01-05,15690,15710,15835,15690,3085
2017-01-06,15725,16015,16060,15725,4849
2017-01-09,16065,16460,16495,16050,8315
2017-01-10,16500,16365,16500,16345,7777
2017-01-11,16365,17080,17160,16365,9795
2017-01-12,17165,17065,17180,16950,11867
2017-01-13,17060,16700,17060,16670,7557
2017-01-16,16665,16195,16665,16085,13687
2017-01-17,16195,16335,16490,16150,11083
2017-01-18,16200,16255,16355,16085,11940
2017-01-19,16335,16505,16690,16335,2837
2017-01-20,16655,16485,16655,16400,907
2017-01-23,16565,16755,16765,16355,5920
2017-01-24,16730,16755,16945,16710,11112
2017-01-25,16925,17180,17225,16915,9527
2017-01-26,17250,17525,17525,17250,6812
2017-01-31,17525,17590,17695,17410,2866
2017-02-01,17590,17805,17905,17590,4829
2017-02-02,17950,17660,17990,17660,10937
2017-02-03,17660,17795,17900,17660,894
2017-02-06,18000,17900,18070,17830,2001
2017-02-07,18000,17810,18000,17810,4409
2017-02-08,17800,17830,17830,17470,7976
2017-02-09,17915,17650,17915,17585,4991
2017-02-10,17760,17365,17760,17365,4865
2017-02-13,17345,17080,17345,17035,3801
2017-02-14,17085,16645,17095,16580,13788
2017-02-15,16475,16525,16615,16395,12397
2017-02-16,16645,16860,16860,16645,6773
2017-02-17,16860,16920,17000,16850,2457
2017-02-20,16925,17205,17205,16925,7727
2017-02-21,17205,17615,17640,17200,22615
2017-02-22,17705,17740,17920,17705,10341
2017-02-23,17740,17765,17770,17560,23409
2017-02-24,17760,16915,17760,16910,36525
2017-02-27,16845,16595,16845,16555,9700
2017-02-28,16585,16515,16715,16510,27770
2017-03-02,16695,17200,17230,16695,22709
2017-03-03,17195,17185,17250,16890,19980
2017-03-06,17350,17290,17370,16775,176228
2017-03-07,17290,17385,17495,17150,6271
2017-03-08,17385,17530,17610,17385,9788
2017-03-09,17600,17510,17725,17500,20596
2017-03-10,17510,17580,17580,17250,7088
2017-03-13,17580,18390,18450,17580,16250
2017-03-14,18690,18620,18720,18370,14926
2017-03-15,18455,18455,18560,18360,4629
2017-03-16,19000,18620,19000,18505,23971
2017-03-17,18790,18530,18790,18425,2228
2017-03-20,18525,18440,18525,18400,6257
2017-03-21,18655,19220,19220,18655,23341
2017-03-22,19165,19310,19315,19020,8451
2017-03-23,19480,19490,19810,19365,59086
2017-03-24,19985,19500,19985,19420,14225
2017-03-27,19500,19520,19775,19460,3042
2017-03-28,19610,19410,19700,19350,388318
2017-03-29,19445,19835,19835,19445,201240
2017-03-30,19945,19775,20145,19605,6355
2017-03-31,19775,19590,19775,19535,5404
