Date,Open,Close,High,Low,Volume
2016-06-03,11000,11000,11000,11000,100
2016-06-07,11000,11000,11000,11000,0
2016-06-08,11000,11000,11000,11000,0
2016-06-09,11000,11000,11000,11000,0
2016-06-10,11000,11000,11000,11000,0
2016-06-13,9350,11500,11500,9350,101
2016-06-14,11000,11000,11000,11000,0
2016-06-15,10100,10100,10100,10100,0
2016-06-16,11000,10100,11000,10100,5
2016-06-17,9500,9500,9500,9500,102
2016-06-20,9500,9500,9500,9500,0
2016-06-21,10000,10900,10900,10000,595
2016-06-22,9450,9450,9450,9450,110
2016-06-23,9720,10000,10000,9720,500
2016-06-24,9900,9900,9900,9900,15
2016-06-27,9350,9350,9350,9350,206
2016-06-28,9350,9350,9350,9350,0
2016-06-29,9350,9350,9350,9350,0
2016-06-30,9350,9350,9350,9350,0
2016-07-01,9350,9350,9350,9350,0
2016-07-04,9350,9350,9350,9350,0
2016-07-05,9350,9350,9350,9350,0
2016-07-06,9360,9360,9360,9360,5
2016-07-07,9360,9360,9360,9360,0
2016-07-08,9010,9010,9010,9010,0
2016-07-11,7660,7660,7660,7660,1
2016-07-12,6520,6520,8800,6520,166
2016-07-13,7450,5550,7450,5550,11
2016-07-14,4720,6380,6380,4720,2
2016-07-15,7330,7330,7330,7330,90
2016-07-18,8400,6240,8420,6240,103
2016-07-19,6620,6620,6620,6620,155
2016-07-20,7010,7010,7010,7010,56
2016-07-21,8060,8060,8060,8060,1
2016-07-22,9000,6860,9000,6860,101
2016-07-25,7880,7850,7880,7850,150
2016-07-26,8990,8940,8990,8940,110
2016-07-27,7600,7600,7600,7600,88
2016-07-28,7600,6480,7600,6480,51
2016-07-29,6860,7400,7400,6860,188
2016-08-01,8000,7000,8000,7000,160
2016-08-02,6510,6510,6510,6510,0
2016-08-03,7480,7480,7480,7000,725
2016-08-04,7000,7000,7000,7000,300
2016-08-05,7500,7500,7500,7500,402
2016-08-08,8620,8620,8620,8620,1
2016-08-09,9900,9900,9900,8000,855
2016-08-10,8420,10800,10800,8420,120
2016-08-11,10800,11000,11000,9200,4
2016-08-12,9350,9350,9350,9350,107
