Date,Open,Close,High,Low,Volume
2016-09-13,10125,10220,10220,10125,221959
2016-09-19,10220,10120,10220,10090,499
2016-09-20,10155,10100,10155,10100,44
2016-09-21,10500,10040,10500,10035,110140
2016-09-22,9965,9950,9965,9900,217
2016-09-23,9950,9955,9960,9935,163
2016-09-26,9955,9985,9990,9955,100014
2016-09-27,10030,9920,10050,9905,240
2016-09-28,9905,9950,9950,9905,112
2016-09-29,9900,9870,9900,9845,99
2016-09-30,9960,9990,9990,9925,64
2016-10-04,9930,9935,9935,9900,18
2016-10-05,9990,9945,10015,9925,50
2016-10-06,9870,9870,9870,9850,10
2016-10-07,9830,9895,9895,9825,65782
2016-10-10,10200,9885,10200,9875,3522
2016-10-11,9890,10035,10035,9880,2015
2016-10-12,10035,10030,10150,10005,5044
2016-10-13,10030,10125,10130,10030,4015
2016-10-14,10125,10080,10125,10050,1285
2016-10-17,10085,10060,10135,10005,1120
2016-10-18,10060,9990,10060,9975,1050
2016-10-19,9995,9980,9995,9920,6073
2016-10-20,9940,9970,9970,9895,1015
2016-10-21,9975,10005,10010,9950,11021
2016-10-24,10005,9935,10005,9920,1006
2016-10-25,9950,9960,9965,9935,1184
2016-10-26,10015,10070,10110,10015,1260
2016-10-27,10020,10015,10045,10005,1005
2016-10-28,10020,10015,10035,9995,1015
2016-10-31,10035,10040,10055,10015,1008
2016-11-01,10040,10045,10115,10035,1007
2016-11-02,10045,10180,10180,10045,1160
2016-11-03,10180,10155,10190,10125,1216
2016-11-04,10155,10170,10185,10150,505
2016-11-07,10170,10090,10170,10065,516
2016-11-08,10070,10060,10115,10035,52889
2016-11-09,10025,10315,10410,10000,31539
2016-11-10,10140,10045,10160,10045,819
2016-11-11,10145,10170,10190,10135,6393
2016-11-14,10170,10250,10260,10170,411
2016-11-15,10240,10280,10280,10240,10601
2016-11-16,10210,10240,10245,10195,719
2016-11-17,10240,10230,10290,10195,807
2016-11-18,10230,10250,10290,10220,1216
2016-11-21,10250,10265,10280,10225,876
2016-11-22,10265,10150,10265,10120,1317
2016-11-23,10135,10100,10145,10055,1367
2016-11-24,10115,10150,10165,10100,991
2016-11-25,10125,10150,10160,10120,549
2016-11-28,10150,10115,10190,10100,534
2016-11-29,10120,10135,10140,10110,503
2016-11-30,10125,10095,10125,10050,699
2016-12-01,10080,10080,10085,10055,510
2016-12-02,10115,10140,10140,10110,516
2016-12-05,10185,10160,10195,10115,509
