Date,Open,Close,High,Low,Volume
2017-12-07,49500,42300,49500,39900,1502563
2017-12-08,42000,46000,53300,41150,1622121
2017-12-11,48500,45400,51000,45050,285631
2017-12-12,45800,43000,45900,41900,299679
2017-12-13,43000,43200,44850,42950,94899
2017-12-14,43900,42600,43900,42300,71267
2017-12-15,42400,42450,43950,42250,50477
2017-12-18,43650,41300,43650,41250,86592
2017-12-19,41500,41400,41700,39600,117957
2017-12-20,41700,39000,41700,39000,108531
2017-12-21,39000,38900,40800,38100,54693
2017-12-22,38900,38250,39300,37900,48086
2017-12-26,38100,37000,38300,36950,108355
2017-12-27,37050,37050,39150,36550,77432
2017-12-28,37650,39250,39750,37500,70011
2018-01-02,39650,41450,41800,39250,84782
2018-01-03,41400,42450,43000,40950,74811
2018-01-04,42950,42400,42950,41600,43873
2018-01-05,42700,41550,42700,41100,45669
2018-01-08,41550,40250,42000,39550,62299
2018-01-09,39850,38500,40300,38300,49862
2018-01-10,38550,38300,39750,38000,59811
2018-01-11,38200,38800,39400,38200,24404
2018-01-12,39000,37800,39000,37400,58790
2018-01-15,37600,36900,37650,36600,69534
2018-01-16,37000,36450,37000,36200,83074
2018-01-17,36350,35200,36950,35000,118686
2018-01-18,35550,36850,37400,35350,61235
2018-01-19,37500,36650,37500,36200,27300
2018-01-22,37150,36450,37500,36100,40128
2018-01-23,36600,36700,36900,36200,20951
2018-01-24,36900,37150,38300,36750,69423
2018-01-25,37800,37550,37900,37100,37930
2018-01-26,37600,37700,38000,37000,43877
2018-01-29,38100,38000,38700,37650,47938
2018-01-30,37900,37650,38050,37450,32621
2018-01-31,37400,37500,37800,36450,44136
2018-02-01,37500,38550,38700,37050,54020
2018-02-02,38200,38350,38900,37900,44003
2018-02-05,37600,37200,38050,37000,40350
2018-02-06,35100,35800,36300,34500,67783
2018-02-07,36600,34700,36700,34650,42780
2018-02-08,34850,35150,35300,34500,16097
2018-02-09,33950,33950,34750,33800,36629
2018-02-12,34450,33250,34500,33250,34512
2018-02-13,33500,32550,33600,32500,42664
2018-02-14,32950,31850,32950,31350,68169
2018-02-19,32050,33900,34450,31950,44489
2018-02-20,33900,34900,35700,33550,35147
2018-02-21,34800,34900,35200,34500,27190
2018-02-22,34900,35800,35800,34400,24313
2018-02-23,35900,35400,35900,34600,21279
2018-02-26,35450,34150,35450,34150,17173
2018-02-27,34550,35300,35550,34000,19701
2018-02-28,35000,35000,35300,34500,8845
2018-03-02,34950,34000,34950,33850,12527
2018-03-05,33750,32800,34050,32750,19915
2018-03-06,32900,32800,33200,32600,9547
2018-03-07,32800,33400,33500,32100,32507
2018-03-08,33650,33400,33650,33200,18132
2018-03-09,33600,33600,34150,33050,19875
2018-03-12,33500,34350,34700,33500,23223
2018-03-13,35600,36800,38500,35050,154150
2018-03-14,36800,36200,36950,35800,33463
2018-03-15,36000,36400,36700,35550,25269
2018-03-16,36050,36000,36450,35700,14493
2018-03-19,36400,35450,36400,35100,12033
2018-03-20,35450,36300,36350,34900,21636
2018-03-21,37300,36050,37300,35900,14176
2018-03-22,36150,36400,36500,35850,25343
2018-03-23,35700,35300,36350,35150,26937
2018-03-26,34900,36100,36100,34300,29400
2018-03-27,36650,36100,36800,35850,18035
2018-03-28,36100,36300,36350,35800,13418
2018-03-29,36650,37800,38350,36500,95903
2018-03-30,38250,38750,39100,37500,80862
2018-04-02,39400,38550,40000,38200,60945
2018-04-03,37700,38250,38550,37550,32018
2018-04-04,38400,37350,38500,37000,26361
2018-04-05,37850,37200,37850,36900,16523
2018-04-06,37450,37000,37450,36550,17729
2018-04-09,37100,36750,37300,36500,12082
2018-04-10,37000,36050,37000,35850,19399
2018-04-11,36100,36600,36600,35600,23694
2018-04-12,36650,35950,36750,35800,18105
2018-04-13,36400,35500,36400,35200,23208
2018-04-16,35500,34650,35900,34300,31349
2018-04-17,34850,36350,36400,34000,37520
2018-04-18,36350,35750,37150,35450,27484
2018-04-19,36000,37000,37600,35700,41158
2018-04-20,38000,39000,39500,37850,216494
2018-04-23,39000,38500,39100,37350,75442
2018-04-24,38500,39900,41400,38500,188297
2018-04-25,40050,39900,40150,39200,64153
2018-04-26,39900,39200,40400,38200,64553
2018-04-27,39500,39100,40800,38250,70696
2018-04-30,39100,39250,39550,37900,44027
2018-05-02,38350,39950,40200,38350,51700
2018-05-03,40300,40000,41400,39150,65173
2018-05-04,40750,42150,42350,40250,123469
2018-05-08,41550,41200,42500,39800,89617
2018-05-09,41200,42050,42200,40150,51267
2018-05-10,41500,40700,42200,40450,24622
2018-05-11,40700,40250,41300,39550,42538
2018-05-14,40200,39500,40400,39050,21070
2018-05-15,39400,40200,40400,38900,19114
2018-05-16,40700,39550,40750,38950,14858
2018-05-17,39500,39000,39700,38450,16598
2018-05-18,39000,39200,39200,38350,9805
2018-05-21,39050,39600,40250,38750,20632
2018-05-23,39600,38800,39650,38500,16115
2018-05-24,38550,38500,39050,38500,11717
2018-05-25,38500,38400,38800,37300,11241
2018-05-28,38400,38350,38800,37750,11741
2018-05-29,38350,37550,38350,37200,12950
2018-05-30,37200,36550,37550,36500,19953
2018-05-31,36400,36800,37600,36400,15857
2018-06-01,37100,37500,37650,36350,14885
2018-06-04,37000,37400,37950,37000,13973
2018-06-05,37450,37400,37500,36300,18359
2018-06-07,37400,37250,37700,36850,11729
2018-06-08,37050,37600,37650,36900,6745
2018-06-11,37450,37600,37850,37000,7248
2018-06-12,37000,37300,37850,36950,8538
2018-06-14,37300,36800,37300,35750,25819
2018-06-15,36850,35900,36950,35900,18105
2018-06-18,35900,35950,36650,35300,47397
2018-06-19,35750,33500,36600,33350,38779
2018-06-20,32900,33400,34600,32900,12114
2018-06-21,33700,32500,33700,32500,14116
2018-06-22,32500,30650,32500,30100,112268
2018-06-25,30500,30250,30650,30000,32082
2018-06-26,30400,31400,31750,29950,14235
2018-06-27,31050,31950,32050,31050,9046
2018-06-28,31900,31550,32800,31300,11422
2018-06-29,31000,30600,31550,30550,12717
2018-07-02,30800,29700,30800,29150,22081
2018-07-03,29400,27550,29950,27250,67872
2018-07-04,27550,28100,28600,27500,52829
2018-07-05,28300,28500,28750,27750,17630
2018-07-06,28150,31000,31150,28150,21684
2018-07-09,31000,31900,32600,30100,24835
2018-07-10,31900,30600,32200,30100,18398
2018-07-11,30400,30550,31100,30200,4654
2018-07-12,30550,31750,31950,29850,15027
2018-07-13,32450,32600,32850,31250,22170
2018-07-16,31800,31100,32200,31100,13352
2018-07-17,31000,31000,31650,30250,6391
2018-07-18,30450,29900,31100,29800,13062
2018-07-19,29950,28850,30500,28500,16420
2018-07-20,28850,29100,29250,28600,12466
2018-07-23,29750,27650,29750,27600,24474
2018-07-24,27350,27500,28800,27100,22106
2018-07-25,27150,27500,28350,26900,10151
2018-07-26,27450,27500,27500,26900,12505
2018-07-27,27500,27300,28800,27200,16711
2018-07-30,27300,27050,27400,26700,16199
2018-07-31,26750,27000,27300,26600,23163
2018-08-01,27500,27250,27500,26750,27843
2018-08-02,27250,26500,27250,26200,45283
2018-08-03,26500,26950,27100,26200,15746
2018-08-06,27100,27250,27450,26350,26236
2018-08-07,27350,26600,27350,26500,9057
2018-08-08,26100,26250,26850,26100,14074
2018-08-09,26250,26200,26300,26050,14562
2018-08-10,26250,25500,26250,25250,36286
2018-08-13,25700,23750,25700,23150,78289
2018-08-14,23850,23150,24300,22750,34642
2018-08-16,22550,22250,22700,21950,56860
2018-08-17,22100,21300,22250,21050,74031
2018-08-20,21500,22100,22100,21100,34989
2018-08-21,22150,22900,22900,21700,31326
2018-08-22,22550,22700,23050,22450,5419
2018-08-23,22700,22850,23250,22550,7720
2018-08-24,22850,22100,22850,21950,27896
2018-08-27,22350,21700,22350,21450,10773
2018-08-28,21600,21450,22000,21200,36099
2018-08-29,21500,22300,23000,21000,36099
2018-08-30,22300,22200,22700,21700,16812
2018-08-31,21800,21800,22200,21450,19976
2018-09-03,21750,21450,22350,21100,37325
2018-09-04,21200,21250,21400,21150,11866
2018-09-05,21400,22500,23900,21150,124975
2018-09-06,22350,22050,22450,21850,25110
2018-09-07,22200,23350,24700,22200,179356
2018-09-10,23350,22850,23350,22650,34830
2018-09-11,22850,23000,23450,22600,29436
2018-09-12,23200,22500,23200,22500,29921
2018-09-13,22500,22750,23000,22150,19895
