Date,Open,Close,High,Low,Volume
2017-03-03,2000,1990,2060,1965,191905
2017-03-06,2020,1990,2020,1985,14422
2017-03-07,1995,1995,2005,1995,73254
2017-03-08,1990,1990,2000,1985,19735
2017-03-09,1990,1995,2000,1990,86492
2017-03-10,1990,1985,1995,1985,25158
2017-03-13,1985,1990,1995,1975,1667
2017-03-14,1975,1985,1985,1975,160
2017-03-15,2000,1990,2000,1990,9309
2017-03-16,1980,1980,1990,1980,230550
2017-03-17,2000,1995,2170,1995,169532
2017-03-20,2000,2000,2100,1990,138203
2017-03-21,2020,2010,2045,1985,46299
2017-03-22,1990,2000,2070,1985,72536
2017-03-23,1985,1990,2000,1980,42683
2017-03-24,2005,1995,2005,1980,9217
2017-03-27,1985,2000,2010,1985,9465
2017-03-28,2000,2000,2000,1975,5894
2017-03-29,2005,1995,2010,1995,18271
2017-03-30,2000,1995,2000,1990,1098
2017-03-31,1995,2000,2030,1995,6408
2017-04-03,1995,1990,2000,1990,14110
2017-04-04,1995,2020,2020,1995,7401
2017-04-05,1995,2000,2000,1995,3605
2017-04-06,1990,2035,2035,1990,5315
2017-04-07,2000,2005,2005,2000,350
2017-04-10,1990,1990,2000,1990,9502
2017-04-11,1980,2010,2010,1980,881
2017-04-12,1995,1995,1995,1995,1
2017-04-13,2005,1995,2005,1995,1771
2017-04-14,2000,1985,2000,1980,2480
2017-04-17,1980,2005,2005,1980,7158
2017-04-18,1985,2000,2000,1985,4004
2017-04-19,2015,1995,2015,1995,561
2017-04-20,1995,2000,2000,1995,7234
2017-04-21,1995,2000,2000,1990,10046
2017-04-24,1985,1980,2000,1975,88142
2017-04-25,1980,2000,2000,1980,255356
2017-04-26,2000,1990,2005,1975,17169
2017-04-27,1990,1990,2000,1990,7264
2017-04-28,1990,1990,1990,1985,2877
2017-05-02,2000,2005,2005,2000,9814
2017-05-04,2005,2005,2005,2005,4000
2017-05-08,2000,2000,2000,2000,12100
2017-05-10,1995,2000,2000,1995,306
2017-05-11,2000,1995,2000,1995,3115
2017-05-12,1995,1995,1995,1995,697
2017-05-15,2000,1995,2000,1995,10425
2017-05-16,1995,1995,2000,1995,5398
2017-05-17,1995,1995,2000,1995,12078
2017-05-18,1995,1995,2005,1995,2533
2017-05-19,2000,1995,2000,1995,14999
2017-05-22,1995,1995,2000,1995,4987
2017-05-23,2000,1995,2010,1995,8392
2017-05-24,1995,1995,2000,1990,13043
2017-05-25,2000,1985,2000,1980,41919
2017-05-26,1985,1970,1990,1970,15804
2017-05-29,1985,1970,1985,1970,5215
2017-05-30,1985,1985,2000,1985,27759
2017-05-31,2000,1990,2000,1990,3988
2017-06-01,1985,1980,1990,1980,3173
2017-06-02,1980,1980,1980,1980,310
2017-06-05,1975,1985,2000,1965,21567
2017-06-07,1980,1980,1980,1975,15022
2017-06-08,1980,1980,1985,1965,5827
2017-06-09,1970,1980,1980,1965,1296
2017-06-12,1975,1980,1980,1965,11516
2017-06-13,1980,1980,1980,1980,1080
2017-06-14,1985,1990,1995,1985,7726
2017-06-15,1990,1990,1995,1990,2181
2017-06-16,1990,1990,1990,1990,0
2017-06-19,1990,1985,1995,1985,4036
2017-06-20,1980,1975,1995,1975,11783
2017-06-21,1970,1975,1975,1970,6
2017-06-22,1995,1985,1995,1985,10527
2017-06-23,1985,1985,1985,1985,0
2017-06-26,1985,1985,1985,1985,0
2017-06-27,1985,1985,1985,1985,0
2017-06-28,1985,1985,1985,1985,0
2017-06-29,1985,1985,1985,1985,0
2017-06-30,1985,1985,1985,1985,0
2017-07-03,1985,1985,1985,1985,0
2017-07-04,1985,1985,1985,1985,0
2017-07-05,1985,1985,1985,1985,0
2017-07-06,1985,1985,1985,1985,0
2017-07-07,1985,1985,1985,1985,0
2017-07-10,1985,1985,1985,1985,0
2017-07-11,1985,1985,1985,1985,0
2017-07-12,1985,1985,1985,1985,0
2017-07-13,1985,1985,1985,1985,0
2017-07-14,1985,1985,1985,1985,0
2017-07-17,1985,1985,1985,1985,0
2017-07-18,1985,1985,1985,1985,0
2017-07-19,1985,1985,1985,1985,0
2017-07-20,1985,1985,1985,1985,0
2017-07-21,1985,1985,1985,1985,0
2017-07-24,1985,1985,1985,1985,0
2017-07-25,1985,1985,1985,1985,0
2017-07-26,1985,1985,1985,1985,0
2017-07-27,1985,1985,1985,1985,0
2017-07-28,1985,1985,1985,1985,0
2017-07-31,2000,1990,2000,1985,132571
2017-08-01,2020,1995,2020,1985,87182
2017-08-02,2005,1995,2005,1995,70107
2017-08-03,1995,1995,1995,1995,52367
2017-08-04,2000,1995,2000,1995,9553
2017-08-07,2000,1995,2000,1995,5907
2017-08-08,1995,2000,2000,1995,14039
2017-08-09,1995,1995,2000,1995,4900
2017-08-10,1995,1995,2000,1995,1610
2017-08-11,2000,2000,2000,1995,11836
2017-08-14,2000,1995,2000,1995,49492
2017-08-16,2000,1995,2000,1995,2710
2017-08-17,2000,2000,2000,2000,5010
2017-08-18,2000,2000,2000,1995,85424
2017-08-21,1995,1995,2000,1995,6551
2017-08-22,1995,1995,2000,1995,9882
2017-08-23,2000,2010,2010,1995,3503
2017-08-24,2005,2005,2005,2005,0
2017-08-25,1995,2010,2070,1995,15736
2017-08-28,2075,2040,2075,2005,129
