Date,Open,Close,High,Low,Volume
2017-07-07,1083,1083,1083,1083,0
2017-07-10,1243,1243,1243,1243,0
2017-07-11,1428,1428,1428,1428,0
2017-07-12,1428,1428,1428,1428,0
2017-07-13,1428,1428,1428,1428,0
2017-07-14,1430,1430,1430,1430,0
2017-07-17,1430,1430,1430,1430,0
2017-07-18,1500,1500,1500,1500,0
2017-07-19,1500,1500,1500,1500,0
2017-07-20,1500,1500,1500,1500,0
2017-07-21,1500,1500,1500,1500,0
2017-07-24,1500,1500,1500,1500,0
2017-07-25,1500,1500,1500,1500,0
2017-07-26,1500,1500,1500,1500,0
2017-07-27,1500,1500,1500,1500,0
2017-07-28,1500,1500,1500,1500,0
2017-07-31,1500,1500,1500,1500,0
2017-08-01,1500,1500,1500,1500,0
2017-08-02,1500,1500,1500,1500,0
2017-08-03,1500,1500,1500,1500,0
2017-08-04,1500,1500,1500,1500,0
2017-08-07,1500,1500,1500,1500,0
2017-08-08,1500,1500,1500,1500,0
2017-08-09,1500,1500,1500,1500,0
2017-08-10,1500,1500,1500,1500,0
2017-08-11,1500,1500,1500,1500,0
2017-08-14,1500,1500,1500,1500,0
2017-08-16,1500,1500,1500,1500,0
2017-08-17,1500,1500,1500,1500,0
2017-08-18,1500,1500,1500,1500,0
2017-08-21,1500,1500,1500,1500,0
2017-08-22,1500,1500,1500,1500,0
2017-08-23,1500,1500,1500,1500,0
2017-08-24,1500,1500,1500,1500,0
2017-08-25,1500,1500,1500,1500,0
2017-08-28,1500,1500,1500,1500,0
2017-08-29,1500,1500,1500,1500,0
2017-08-30,1500,1500,1500,1500,0
2017-08-31,1500,1500,1500,1500,0
2017-09-01,1500,1500,1500,1500,0
2017-09-04,1500,1500,1500,1500,0
2017-09-05,1500,1500,1500,1500,0
2017-09-06,1500,1500,1500,1500,0
2017-09-07,1500,1500,1500,1500,0
2017-09-08,1500,1500,1500,1500,0
2017-09-11,1500,1500,1500,1500,0
2017-09-12,1500,1500,1500,1500,0
2017-09-13,1500,1500,1500,1500,0
2017-09-14,1500,1500,1500,1500,0
2017-09-15,1500,1500,1500,1500,0
2017-09-18,1500,1500,1500,1500,0
2017-09-19,1500,1500,1500,1500,0
2017-09-20,1500,1500,1500,1500,0
2017-09-21,1500,1500,1500,1500,0
2017-09-22,1500,1500,1500,1500,0
