Date,Open,Close,High,Low,Volume
2018-03-20,10000,10050,10050,10000,18130
2018-03-21,10060,10050,10060,10050,10156
2018-03-22,10025,10090,10090,10025,10031
2018-03-23,9925,9750,9925,9750,112
2018-03-26,9700,9815,9815,9700,39
2018-03-27,9885,9925,9925,9870,5001
2018-03-28,9775,9745,9775,9745,22
2018-03-29,9815,9890,9890,9745,400
2018-03-30,9940,9970,9975,9940,141
2018-04-02,9855,9930,10010,9855,240
2018-04-03,9790,9890,9890,9790,2552
2018-04-04,9870,9725,9870,9705,5018
2018-04-05,9810,9965,9965,9810,11
2018-04-06,9880,9840,9880,9810,605
2018-04-09,9950,9950,9950,9950,0
2018-04-10,9980,10010,10010,9980,11
2018-04-11,10045,10000,10045,10000,3
2018-04-12,10025,10050,10060,10025,58
2018-04-13,10110,10105,10110,10105,27
2018-04-16,10125,10120,10125,10110,115
2018-04-17,10135,10135,10135,10135,10
2018-04-18,10205,10250,10255,10205,81
2018-04-19,10300,10305,10305,10295,1570
2018-04-20,10265,10240,10265,10220,600
2018-04-23,10240,10210,10240,10210,204
2018-04-24,10180,10180,10180,10180,20
2018-04-25,10090,10060,10090,10060,50
2018-04-26,10265,10245,10265,10245,1104
2018-04-27,10330,10340,10340,10330,29
2018-04-30,10380,10355,10390,10355,388
2018-05-02,10420,10380,10420,10370,499
2018-05-03,10420,10410,10420,10410,22
2018-05-04,10350,10350,10360,10340,54
2018-05-08,10380,10290,10380,10275,1509
2018-05-09,10280,10280,10300,10170,5942
2018-05-10,10335,10345,10345,10325,203
2018-05-11,10445,10440,10460,10440,196
2018-05-14,10465,10390,10465,10390,319
2018-05-15,10400,10325,10400,10300,514
2018-05-16,10275,10360,10370,10265,400
2018-05-17,10405,10310,10405,10300,52
2018-05-18,10315,10340,10345,10305,383
2018-05-21,10290,10375,10395,10250,69
2018-05-23,10465,10465,10465,10465,50
2018-05-24,10460,10440,10460,10400,324
2018-05-25,10395,10470,10485,10380,427
2018-05-28,10515,10515,10525,10490,274
2018-05-29,10500,10420,10500,10420,297
2018-05-30,10390,10055,10390,9970,1489
2018-05-31,10110,10145,10145,10080,74
2018-06-01,10150,10280,10280,10145,335
2018-06-04,10325,10365,10365,10295,283
2018-06-05,10390,10400,10400,10270,286
2018-06-07,10500,10530,10555,10500,1764
2018-06-08,10490,10385,10500,10385,1321
2018-06-11,10385,10525,10525,10380,421
2018-06-12,10520,10495,10550,10485,739
2018-06-14,10480,10245,10480,10230,2113
2018-06-15,10255,10120,10255,10120,399
2018-06-18,10075,9875,10075,9830,231
2018-06-19,9920,9670,9920,9640,346
2018-06-20,9765,9860,9930,9715,2901
2018-06-21,9840,9680,9840,9680,127
2018-06-22,9595,9800,9800,9570,914
2018-06-25,9730,9825,9825,9690,62
2018-06-26,9720,9800,9800,9575,297
2018-06-27,9785,9815,9830,9725,75
2018-06-28,9590,9535,9650,9535,117
2018-06-29,9535,9600,9635,9420,355
2018-07-02,9390,9240,9390,9240,335
2018-07-03,9270,9260,9270,9160,29
2018-07-04,9285,9155,9290,9155,68
2018-07-05,9150,9085,9150,9045,51
2018-07-06,9150,9235,9235,9055,38
2018-07-09,9180,9360,9410,9180,477
2018-07-10,9465,9400,9465,9390,80
2018-07-11,9300,9300,9300,9300,7
2018-07-12,9300,9340,9400,9300,20
2018-07-13,9390,9400,9400,9390,4440
2018-07-16,9425,9425,9425,9425,4
