Date,Open,Close,High,Low,Volume
2018-07-13,223000,160000,233000,156500,890434
2018-07-16,163500,174000,180000,162000,667957
2018-07-17,167500,174000,177000,165000,291798
2018-07-18,171000,162500,177500,160500,172571
2018-07-19,165500,169500,176000,163500,192445
2018-07-20,167000,163000,168000,159000,131393
2018-07-23,164000,154500,166000,153000,79709
2018-07-24,153000,154500,156000,150500,65673
2018-07-25,156000,151500,158000,148000,63498
2018-07-26,151500,156000,156000,148000,37620
2018-07-27,156000,160000,163000,154000,57547
2018-07-30,163000,166500,167000,160500,45047
2018-07-31,166500,170000,170000,162000,47931
2018-08-01,170000,168000,170500,165000,29004
2018-08-02,167500,159500,168000,159000,44807
2018-08-03,161000,160000,162500,156000,29571
2018-08-06,159500,160000,163500,158000,20620
2018-08-07,160000,160500,161000,157000,23485
2018-08-08,161000,162000,162500,159000,27426
2018-08-09,162000,160000,163500,160000,31185
2018-08-10,161000,160000,161500,157500,16412
2018-08-13,158500,156000,158500,152000,32502
2018-08-14,156000,157000,158000,154500,32384
2018-08-16,153500,154000,155500,151500,31271
2018-08-17,154500,156000,156000,152500,31044
2018-08-20,155000,157500,159500,154500,28102
2018-08-21,158500,163500,163500,158000,28959
2018-08-22,162000,157000,163000,154000,48208
2018-08-23,157000,152000,157000,149500,42651
2018-08-24,151500,153000,156500,151000,21836
2018-08-27,154000,149500,154000,147000,42669
2018-08-28,149500,152500,153500,148000,33433
2018-08-29,152500,156000,158000,151500,37147
2018-08-30,157000,160000,161500,156500,50073
2018-08-31,160000,160000,160000,157000,17009
2018-09-03,160500,155000,160500,154000,26951
2018-09-04,155000,154500,157000,154000,10184
2018-09-05,153000,149500,154000,149500,29218
2018-09-06,150000,151000,152000,148000,26607
2018-09-07,151500,151500,151500,148500,18078
2018-09-10,150000,149000,151500,147500,16942
2018-09-11,148000,146000,148500,144500,25694
2018-09-12,146000,148500,150000,145500,25366
2018-09-13,149000,146000,149000,144500,19917
2018-09-14,145500,149500,149500,145500,25016
2018-09-17,153000,151500,153000,147500,18903
2018-09-18,151500,149000,151500,147500,12761
2018-09-19,148000,149500,150500,147000,17799
2018-09-20,148500,143500,148500,143500,26386
2018-09-21,145000,142500,146000,142000,33246
2018-09-27,142500,143500,143500,140500,23676
2018-09-28,143500,141500,143500,140500,26581
2018-10-01,141000,141500,142000,137000,29584
2018-10-02,139000,137000,140500,136000,19850
2018-10-04,136000,133000,137000,128500,40319
2018-10-05,131000,132500,133500,128000,22780
2018-10-08,133000,130500,135000,129000,16033
2018-10-10,129000,125000,130500,121500,25391
2018-10-11,118000,118500,122500,117500,58573
2018-10-12,116500,119000,120500,116000,26279
2018-10-15,118500,114500,119500,113000,29603
2018-10-16,113500,111500,116000,110500,38455
2018-10-17,113000,112500,114500,110500,35993
2018-10-18,112500,114500,117000,111000,24092
2018-10-19,113000,114000,114500,111000,15920
2018-10-22,114000,117500,117500,111500,18974
2018-10-23,116000,115000,117500,111500,27885
2018-10-24,114500,108500,115000,107000,40098
2018-10-25,105000,103000,106000,100000,41314
2018-10-26,103500,102500,105000,96200,41168
2018-10-29,101000,99300,103500,97500,38477
2018-10-30,97200,99600,102000,97000,29117
2018-10-31,100500,104500,104500,99200,33263
2018-11-01,101500,100500,104500,100000,32957
2018-11-02,101500,104000,104000,101500,21760
2018-11-05,103000,103500,106000,102000,9240
2018-11-06,103500,102000,105500,100000,15658
2018-11-07,102000,100000,103000,99300,12688
2018-11-08,101000,99300,102000,99300,18218
2018-11-09,100000,100000,100500,99000,11584
2018-11-12,99900,100500,100500,99000,12535
2018-11-13,99500,100500,101000,98100,17593
2018-11-14,100500,101000,102500,100000,9353
2018-11-15,100000,101000,102000,99100,13965
2018-11-16,101000,103000,103000,100500,6254
2018-11-19,103000,104500,104500,101000,16588
2018-11-20,103000,104500,105000,102500,9667
2018-11-21,103000,108000,110000,102500,22384
2018-11-22,107500,105500,108000,105500,6909
2018-11-23,105500,103500,106500,103000,11761
2018-11-26,103000,108000,108000,103000,9782
2018-11-27,108000,108000,108500,106000,3581
2018-11-28,108500,110500,111000,107500,16832
2018-11-29,111500,111000,113000,110000,13916
2018-11-30,111500,110000,113000,110000,13440
2018-12-03,111500,114000,114000,111000,16662
2018-12-04,114500,113000,114500,111500,12528
2018-12-05,111000,111500,112500,109500,7213
2018-12-06,111000,111500,114000,109500,15302
2018-12-07,112500,112000,112500,109500,7126
2018-12-10,110000,110000,112000,109000,6985
2018-12-11,111000,110500,111000,108500,11132
2018-12-12,111000,113000,113000,110000,8812
2018-12-13,114000,113500,115000,111500,16902
2018-12-14,113500,112500,115000,112000,10574
2018-12-17,112000,114500,115000,112000,13654
2018-12-18,113500,115000,118000,113000,19671
2018-12-19,115500,112500,115500,112000,18180
2018-12-20,112000,108500,112500,107000,20866
2018-12-21,107000,102500,109000,101000,70334
2018-12-24,102500,104000,105500,100000,28029
2018-12-26,102000,100500,103500,100500,20569
2018-12-27,102000,104000,105000,101500,8090
2018-12-28,103500,103000,105500,102500,11048
2019-01-02,102500,102500,104500,101500,6240
2019-01-03,103000,101500,104000,101000,11209
2019-01-04,100000,99800,101500,99200,13149
2019-01-07,101500,102500,102500,100000,5258
2019-01-08,102500,101500,102500,100500,6534
2019-01-09,101500,103000,103500,101000,10351
2019-01-10,102000,103500,104500,101500,14661
2019-01-11,104500,103500,105000,103500,14517
2019-01-14,105500,109000,109000,105000,29692
2019-01-15,109500,109000,111000,108000,26644
2019-01-16,110500,111500,113000,108000,14236
2019-01-17,111500,109500,113500,109000,13744
2019-01-18,110000,112000,112500,110000,12546
2019-01-21,112000,111000,114000,110000,11501
2019-01-22,110000,109500,111500,109000,8296
2019-01-23,108500,111500,113000,108500,17269
2019-01-24,112500,111000,113500,110000,12427
2019-01-25,112500,113500,114000,109500,15232
2019-01-28,114000,118500,119000,113500,21528
2019-01-29,118500,118000,118500,116500,8927
2019-01-30,118000,117500,123000,116000,46887
2019-01-31,118500,114500,119000,113000,14426
2019-02-01,115000,114000,116000,112000,15454
2019-02-07,115000,114000,115000,112500,20182
2019-02-08,113000,114000,115000,113000,16563
2019-02-11,113500,116000,117000,113500,20815
2019-02-12,118000,122000,122500,116500,32760
2019-02-13,123500,122000,127000,122000,38616
2019-02-14,123000,127000,127500,120500,27499
2019-02-15,127000,124500,127500,124500,14166
2019-02-18,124000,123000,127000,123000,17830
2019-02-19,123000,123500,125500,121500,24810
2019-02-20,123500,122000,124500,121500,15642
2019-02-21,124000,125000,126500,123000,31442
2019-02-22,125500,123500,125500,123000,13890
2019-02-25,124500,123500,124500,122000,13248
2019-02-26,124000,121500,124000,121500,15202
2019-02-27,121500,121500,123000,120000,9701
2019-02-28,121000,117500,122000,117500,11459
2019-03-04,118500,117000,120000,116000,23597
2019-03-05,116000,118000,119500,116000,20847
2019-03-06,118000,118000,120000,117500,15372
2019-03-07,118500,117000,120000,116500,13055
2019-03-08,116000,117000,118000,116000,14726
2019-03-11,117000,116500,118500,114500,12593
2019-03-12,117500,118000,119000,117000,18518
2019-03-13,118000,118500,119000,117000,18330
2019-03-14,118500,121000,121000,117500,28400
