Date,Open,Close,High,Low,Volume
2019-04-23,9925,9915,9955,9860,11330
2019-04-24,9940,9825,9940,9805,5069
2019-04-25,9845,9815,9855,9790,2655
2019-04-26,9790,9715,9795,9670,831
2019-04-29,9760,9905,9905,9750,1598
2019-04-30,9925,9965,9995,9835,5038
2019-05-02,9980,9975,10035,9935,1718
2019-05-03,9990,10025,10045,9960,1413
2019-05-07,9890,9965,9995,9855,3565
2019-05-08,9800,9945,9970,9800,1353
2019-05-09,9960,9615,9960,9615,1583
2019-05-10,9720,9745,9760,9615,41294
2019-05-13,9675,9585,9755,9550,1375
2019-05-14,9505,9630,9655,9495,611
2019-05-15,9495,9515,9635,9486,6279
2019-05-16,9515,9436,9515,9431,824
2019-05-17,9436,9296,9436,9296,1034
2019-05-20,9391,9326,9416,9326,1008
2019-05-21,9316,9246,9346,9236,602
2019-05-22,9236,9216,9246,9131,806
2019-05-23,9161,9091,9161,9041,2032
2019-05-24,9031,9071,9096,9016,528
2019-05-27,9096,9011,9106,8991,530
2019-05-28,9091,9121,9126,9081,1001
2019-05-29,8986,9011,9041,8966,250
2019-05-30,9036,9041,9096,8996,500
2019-05-31,9141,9151,9156,9126,10103
2019-06-03,9116,9171,9201,9116,10884
2019-06-04,9156,9051,9156,9016,20139
2019-06-05,9086,9061,9126,9051,138
2019-06-07,9071,9076,9126,9041,101
2019-06-10,9221,9221,9251,9221,783
2019-06-11,9226,9276,9276,9201,200
2019-06-12,9296,9296,9316,9241,106
2019-06-13,9301,9276,9311,9191,924
2019-06-14,9226,9201,9261,9161,726
2019-06-17,9141,9136,9211,9136,753
2019-06-18,9146,9146,9146,9146,0
2019-06-19,9211,9241,9251,9201,134
2019-06-20,9246,9281,9326,9246,1007
2019-06-21,9306,9266,9316,9256,504
2019-06-24,9326,9246,9326,9211,488
2019-06-25,9326,9276,9361,9246,501
2019-06-26,9286,9226,9291,9221,600
2019-06-27,9311,9321,9401,9261,2061
2019-06-28,9321,9241,9321,9231,114
2019-07-01,9266,9261,9296,9226,501
2019-07-02,9206,9196,9211,9121,105
2019-07-03,9176,9191,9206,9166,1002
2019-07-04,9181,9171,9186,9101,1001
2019-07-05,9191,9281,9306,9191,5515
2019-07-08,9231,9086,9236,9086,363
2019-07-09,9106,9026,9171,9021,1026
2019-07-10,9026,9041,9056,9001,1109
2019-07-11,9081,9126,9156,9081,1363
2019-07-12,9191,9111,9216,9111,100
2019-07-15,9146,9166,9211,9146,101
2019-07-16,9151,9166,9206,9116,112
2019-07-17,9121,9141,9146,9056,305
2019-07-18,9121,9121,9181,9111,10310
2019-07-19,9126,9216,9236,9126,397
2019-07-22,9201,9181,9226,9166,700
2019-07-23,9176,9211,9236,9166,300
2019-07-24,9231,9196,9291,9196,310
2019-07-25,9256,9301,9311,9176,625
2019-07-26,9341,9391,9406,9286,387
2019-07-29,9341,9206,9341,9191,101
2019-07-30,9196,9161,9221,9151,101
2019-07-31,9166,9201,9256,9111,224
2019-08-01,9206,9276,9331,9176,720
2019-08-02,9266,9316,9326,9261,43345
2019-08-05,9271,8976,9271,8956,160
2019-08-06,8691,8881,9046,8661,15112
2019-08-07,8881,8846,8896,8786,5070
2019-08-08,8961,9061,9106,8891,508
2019-08-09,9156,9176,9246,9156,364
2019-08-12,9181,9151,9201,9131,10782
2019-08-13,9156,9196,9241,9151,201
2019-08-14,9176,9071,9176,9071,111
2019-08-16,8956,8961,8966,8896,20380
2019-08-19,9006,9036,9051,8991,9633
2019-08-20,9041,9206,9221,9011,20772
2019-08-21,9171,9271,9281,9146,157
2019-08-22,9291,9301,9391,9276,109
