Date,Open,Close,High,Low,Volume
2019-09-05,10140,10225,10280,10140,5100
2019-09-06,10270,10245,10270,10230,130
2019-09-09,10250,10305,10335,10230,208
2019-09-10,10330,10365,10415,10300,145
2019-09-11,10475,10485,10495,10445,182
2019-09-16,10530,10535,10565,10460,203
2019-09-17,10545,10530,10545,10490,5044
2019-09-18,10530,10565,10575,10495,227
2019-09-19,10555,10590,10635,10540,117706
2019-09-20,10555,10615,10640,10540,80658
2019-09-23,10600,10640,10660,10585,109
2019-09-24,10675,10710,10710,10660,130
2019-09-25,10640,10600,10700,10600,113
2019-09-26,10650,10630,10685,10580,113
2019-09-27,10560,10465,10595,10450,116
2019-09-30,10485,10605,10610,10450,119421
2019-10-01,10585,10600,10650,10545,189429
2019-10-02,10550,10405,10550,10385,82219
2019-10-04,10395,10345,10440,10345,135
2019-10-07,10365,10300,10400,10295,325
2019-10-08,10295,10395,10415,10220,665
2019-10-10,10280,10295,10360,10240,116
2019-10-11,10395,10425,10470,10370,113
2019-10-14,10560,10555,10590,10520,290
2019-10-15,10515,10560,10595,10515,113
2019-10-16,10625,10630,10655,10570,116
2019-10-17,10635,10630,10650,10585,131
2019-10-18,10590,10545,10670,10515,254
2019-10-21,10585,10605,10605,10560,10152
2019-10-22,10670,10715,10720,10625,150
2019-10-23,10645,10585,10655,10565,148
2019-10-24,10635,10610,10645,10560,128
2019-10-25,10655,10655,10655,10575,132
2019-10-28,10685,10615,10715,10615,40361
2019-10-29,10695,10615,10695,10590,191
2019-10-30,10600,10505,10630,10505,1283
2019-10-31,10555,10540,10600,10505,229
2019-11-01,10490,10560,10560,10470,58
2019-11-04,10615,10715,10735,10615,416
2019-11-05,10765,10830,10830,10745,81
2019-11-06,10820,10830,10875,10805,86
2019-11-07,10770,10840,10865,10770,300211
2019-11-08,10875,10825,10915,10825,204506
2019-11-11,10860,10805,10860,10775,28405
2019-11-12,10815,10895,10895,10780,8219
2019-11-13,10890,10825,10890,10805,115
2019-11-14,10810,10830,10830,10770,58
2019-11-15,10825,10955,10985,10825,58
2019-11-18,10935,10935,10950,10890,211207
2019-11-19,10880,10945,10945,10815,276
2019-11-20,10880,10825,10900,10810,154597
2019-11-21,10835,10705,10835,10665,90
2019-11-22,10725,10725,10740,10695,79
2019-11-25,10765,10765,10820,10760,136
2019-11-26,10810,10770,10860,10770,103031
2019-11-27,10810,10795,10845,10750,65
2019-11-28,10770,10770,10810,10745,83
2019-11-29,10770,10605,10780,10590,72494
2019-12-02,10645,10610,10650,10600,306
2019-12-03,10505,10565,10590,10500,204
2019-12-04,10485,10510,10545,10465,108
2019-12-05,10570,10500,10590,10485,143
2019-12-06,10585,10620,10625,10565,76
2019-12-09,10615,10645,10665,10615,101
2019-12-10,10630,10685,10715,10630,154
2019-12-11,10720,10735,10780,10675,59215
2019-12-12,10830,10900,10915,10830,97
2019-12-13,11065,11085,11095,11045,66
2019-12-16,11080,11020,11100,11020,113661
2019-12-17,11070,11185,11185,11040,14579
2019-12-18,11160,11180,11210,11160,63
2019-12-19,11205,11185,11220,11160,45
2019-12-20,11240,11220,11240,11165,79664
2019-12-23,11195,11190,11210,11160,97
2019-12-24,11200,11165,11200,11155,100860
2019-12-26,11180,11210,11210,11160,12026
2019-12-27,11300,11395,11430,11300,27
2019-12-30,11360,11345,11380,11320,294
