Date,Open,Close,High,Low,Volume
2016-10-17,8379,8464,8529,8323,141167
2016-10-18,8464,8595,8614,8454,111976
2016-10-19,8586,8567,8689,8539,112562
2016-10-20,8623,8623,8754,8576,152559
2016-10-21,8614,8389,8623,8351,240163
2016-10-24,8370,8379,8445,8342,122573
2016-10-25,8379,8136,8436,8061,289320
2016-10-26,7995,7920,8108,7808,299416
2016-10-27,7920,8126,8155,7920,89947
2016-10-28,8164,8183,8248,8023,145102
2016-10-31,8155,8248,8304,8051,157768
2016-11-01,8304,8229,8304,8145,81742
2016-11-02,8155,7845,8183,7836,202321
2016-11-03,7761,7976,8051,7761,103936
2016-11-04,7948,7976,8033,7676,171675
2016-11-07,7930,8042,8042,7873,125046
2016-11-08,8061,8089,8126,8014,87042
2016-11-09,8070,7761,8248,7545,407292
2016-11-10,7836,8023,8042,7836,151251
2016-11-11,8023,8014,8098,7939,113067
2016-11-14,8070,7883,8070,7798,127523
2016-11-15,7836,7864,7958,7826,93375
2016-11-16,7958,7911,8014,7855,102401
2016-11-17,7864,7967,7967,7836,80600
2016-11-18,7930,7892,8005,7817,93726
2016-11-21,7826,7611,7855,7452,175321
2016-11-22,7583,7433,7667,7395,202939
2016-11-23,7433,7423,7536,7423,89306
2016-11-24,7395,6936,7395,6936,403332
2016-11-25,6945,7292,7358,6908,247784
2016-11-28,7311,7273,7386,7217,134420
2016-11-29,7217,7320,7358,7217,89164
2016-11-30,7358,7217,7358,7133,186765
2016-12-01,7161,7170,7245,7123,108186
2016-12-02,7123,6964,7123,6955,147665
2016-12-05,6908,6711,6936,6664,245122
2016-12-06,6674,6720,6814,6674,158187
2016-12-07,6674,6702,6786,6599,147402
2016-12-08,6720,7011,7077,6720,167437
2016-12-09,6983,7264,7283,6964,188757
2016-12-12,7311,7283,7311,7133,169917
2016-12-13,7273,7348,7386,7273,134581
2016-12-14,7414,7283,7489,7283,225328
2016-12-15,7245,7283,7348,7208,159692
2016-12-16,7302,7320,7348,7227,153432
2016-12-19,7320,7339,7452,7311,148922
2016-12-20,7348,7273,7377,7208,126480
2016-12-21,7292,7302,7339,7236,109431
2016-12-22,7302,7423,7470,7283,144319
2016-12-23,7405,7620,7639,7395,224606
2016-12-26,7611,7470,7648,7470,284983
2016-12-27,7489,7433,7573,7433,216734
2016-12-28,7386,7527,7545,7320,167115
2016-12-29,7508,7517,7592,7508,120819
2017-01-02,7452,7639,7667,7442,116051
2017-01-03,7639,7667,7742,7602,122096
2017-01-04,7723,7845,7855,7723,192978
2017-01-05,7901,7855,7901,7770,104478
2017-01-06,7864,7798,7939,7789,139474
2017-01-09,7789,7798,7864,7780,112293
2017-01-10,7751,7676,7780,7667,157242
2017-01-11,7667,7592,7780,7536,169707
2017-01-12,7592,7348,7630,7330,325271
2017-01-13,7386,7217,7395,7086,245268
2017-01-16,7198,7180,7311,7152,112547
2017-01-17,7161,7264,7292,7161,95579
2017-01-18,7227,7198,7283,7152,90604
2017-01-19,7208,7198,7283,7170,73933
2017-01-20,7170,7039,7227,7011,171749
2017-01-23,7030,6964,7039,6908,189077
2017-01-24,6842,6795,6955,6683,237498
2017-01-25,6786,6795,6861,6758,98971
2017-01-26,6739,6795,6795,6711,153233
2017-01-31,6767,6870,6870,6720,138497
2017-02-01,7011,7039,7123,6917,250544
2017-02-02,7086,6908,7086,6880,126179
2017-02-03,6842,6749,6945,6749,178880
2017-02-06,6739,6795,6805,6739,121037
2017-02-07,6786,6655,6786,6645,269761
2017-02-08,6692,6917,6964,6692,332340
2017-02-09,6936,6964,6992,6842,113111
2017-02-10,6964,6964,7011,6899,78234
2017-02-13,6983,7292,7292,6983,279384
2017-02-14,7339,7358,7358,7227,135261
2017-02-15,7508,7592,7742,7508,576453
2017-02-16,7630,7452,7639,7367,262525
2017-02-17,7405,7423,7527,7377,187674
2017-02-20,7508,7498,7658,7480,202616
2017-02-21,7517,7423,7573,7377,163749
2017-02-22,7489,7602,7648,7489,221253
2017-02-23,7676,7489,7676,7480,203532
2017-02-24,7508,7367,7573,7348,242634
2017-02-27,7386,7217,7386,7152,295412
2017-02-28,7302,7170,7302,7170,153015
2017-03-02,7217,7386,7470,7217,236871
2017-03-03,7395,7433,7527,7339,331199
2017-03-06,7433,7527,7527,7358,251303
2017-03-07,7489,7517,7555,7470,152145
2017-03-08,7498,7377,7527,7367,186830
2017-03-09,7320,7198,7367,7170,240237
2017-03-10,7255,7311,7330,7170,132468
2017-03-13,7311,7311,7367,7245,121238
2017-03-14,7302,7189,7302,7170,220405
2017-03-15,7217,7039,7217,7002,239701
2017-03-16,7039,7020,7133,6899,232404
2017-03-17,6983,7011,7077,6936,101236
2017-03-20,6983,6861,6992,6824,270949
2017-03-21,6824,6805,6899,6767,247408
2017-03-22,6983,6936,7086,6889,408507
2017-03-23,7039,6927,7039,6899,140505
2017-03-24,6945,6852,6983,6842,119049
2017-03-27,6899,6899,6899,6833,100408
2017-03-28,6899,6927,6983,6889,168747
2017-03-29,6917,6842,6964,6833,146857
2017-03-30,6842,6852,6880,6805,105006
2017-03-31,6880,6842,6880,6814,121615
2017-04-03,6824,6795,6842,6758,250216
2017-04-04,6814,6702,6814,6655,399997
2017-04-05,6749,6880,6899,6739,389804
2017-04-06,6880,6824,6899,6795,219124
2017-04-07,6852,6852,6908,6824,107691
2017-04-10,6870,6739,6889,6702,184962
2017-04-11,6749,6720,6795,6692,172243
2017-04-12,6749,6833,6833,6702,130694
2017-04-13,6824,6852,6861,6777,132325
2017-04-14,6833,6758,6833,6758,110818
2017-04-17,6795,6805,6814,6711,121889
2017-04-18,6842,6767,6852,6767,95732
2017-04-19,6786,6730,6786,6692,192965
2017-04-20,6711,6795,6814,6683,181417
2017-04-21,6814,6749,6842,6730,142471
2017-04-24,6749,6702,6767,6683,159134
2017-04-25,6702,6692,6711,6645,196592
2017-04-26,6692,6355,6692,6346,1151566
2017-04-27,6317,6280,6346,6111,702571
2017-04-28,6280,6271,6346,6214,222387
2017-05-02,6271,6102,6271,6102,412297
2017-05-04,6092,6017,6092,5961,410919
2017-05-08,6055,6139,6205,6046,361227
2017-05-10,6158,6111,6186,6102,168918
2017-05-11,6167,6271,6299,6121,247764
2017-05-12,6280,6261,6327,6233,166803
2017-05-15,6261,6317,6327,6205,165601
2017-05-16,6280,6252,6346,6242,169874
2017-05-17,6242,6289,6364,6242,172748
2017-05-18,6233,6242,6280,6186,161663
2017-05-19,6233,6261,6327,6205,152595
2017-05-22,6299,6402,6439,6280,242180
2017-05-23,6402,6411,6421,6364,144197
2017-05-24,6430,6383,6449,6317,225841
2017-05-25,6374,6289,6392,6261,216055
2017-05-26,6280,6196,6308,6177,201792
2017-05-29,6186,6196,6242,6177,126806
2017-05-30,6149,6167,6205,6130,146005
2017-05-31,6271,6383,6486,6233,487056
2017-06-01,6411,6421,6449,6364,178541
2017-06-02,6421,6374,6449,6364,185825
2017-06-05,6421,6458,6458,6364,161396
2017-06-07,6458,6542,6570,6411,318407
2017-06-08,6542,6364,6570,6364,392031
2017-06-09,6102,6092,6242,6017,882279
2017-06-12,6074,5718,6074,5718,1223312
2017-06-13,5671,5764,5793,5671,525651
2017-06-14,5764,5502,5802,5493,1035694
2017-06-15,5483,5474,5530,5314,732820
2017-06-16,5502,5849,5849,5455,1087353
2017-06-19,5839,5933,6008,5811,598965
2017-06-20,5942,5914,6046,5849,276110
2017-06-21,5896,5708,5896,5689,335858
2017-06-22,5774,5727,5811,5680,148891
2017-06-23,5699,5858,5877,5699,205114
2017-06-26,5886,5811,5914,5764,146367
2017-06-27,5811,5811,5858,5746,106771
2017-06-28,5802,5746,5811,5736,131773
