Date,Open,Close,High,Low,Volume
2013-05-30,9000,10350,10350,9000,481546
2013-05-31,11900,11900,11900,11750,3147904
2013-06-03,12200,12150,12350,11450,5255396
2013-06-04,12150,11300,12250,10600,2711946
2013-06-05,11300,10200,11400,10200,1512415
2013-06-07,9900,9480,10100,9260,2087239
2013-06-10,9750,10100,10300,9650,1968043
2013-06-11,10050,10050,10650,9960,1232099
2013-06-12,10200,11000,11400,10000,4117394
2013-06-13,10700,10350,10750,10200,1404828
2013-06-14,10450,9950,10600,9670,1293626
2013-06-17,9720,9400,9810,9160,917470
2013-06-18,9520,9750,9840,9470,764047
2013-06-19,9770,9300,9770,9290,437826
2013-06-20,9200,9170,9260,8960,458729
2013-06-21,8950,9580,9580,8730,707902
2013-06-24,9600,9020,9620,9020,338172
2013-06-25,9000,8700,9180,8450,585755
2013-06-26,8980,9330,9450,8800,885941
2013-06-27,9660,10200,10400,9570,1210388
2013-06-28,10200,10100,10350,9940,891347
2013-07-01,9600,9810,9980,9420,3121857
2013-07-02,9690,10050,10150,9400,1606560
2013-07-03,9940,10200,10300,9800,1513117
2013-07-04,10150,9900,10250,9860,784768
2013-07-05,9910,9990,10000,9720,589648
2013-07-08,9960,9400,10300,9200,1807934
2013-07-09,9480,9290,9480,8910,815648
2013-07-10,9310,9130,9350,9130,337635
2013-07-11,9140,9540,9560,9140,655438
2013-07-12,9540,9500,9580,9270,483878
2013-07-15,9580,9970,9980,9480,1129952
2013-07-16,10100,10500,10600,9910,2108005
2013-07-17,10500,10350,10700,10250,2327058
2013-07-18,10450,10650,10950,10350,2411289
2013-07-19,10400,10250,10500,10050,975935
2013-07-22,10200,10300,10450,9990,780884
2013-07-23,10300,10050,10350,9990,506866
2013-07-24,10000,9890,10100,9670,816052
2013-07-25,9810,10100,10200,9640,813301
2013-07-26,10100,9950,10200,9880,484588
2013-07-29,10100,9410,10100,9280,1089844
2013-07-30,9350,9700,9700,9250,541823
2013-07-31,9750,9950,9980,9500,926616
2013-08-01,9920,9870,9990,9790,407677
2013-08-02,9970,9850,9970,9790,211398
2013-08-05,9950,9720,9950,9640,279808
2013-08-06,9710,9800,9840,9590,283495
2013-08-07,9750,9630,9770,9520,253024
2013-08-08,9630,9990,10100,9510,690681
2013-08-09,9910,9910,10150,9820,431287
2013-08-12,9990,10000,10300,9970,965505
2013-08-13,9990,9800,10100,9760,412172
2013-08-14,9820,9700,9820,9520,291856
2013-08-16,9550,9550,9680,9390,456374
2013-08-19,9500,9800,9870,9420,303677
2013-08-20,9800,9880,10100,9630,1027941
2013-08-21,10050,9650,10100,9130,1255475
2013-08-22,9690,9680,9800,9420,489137
2013-08-23,9730,9950,9950,9620,457754
2013-08-26,10000,10050,10100,9830,509203
2013-08-27,10000,9600,10050,9460,515974
2013-08-28,9400,9270,9630,9200,407027
2013-08-29,9340,9410,9530,9280,221851
2013-08-30,9490,9360,9490,9290,142684
2013-09-02,9360,9380,9480,9290,128369
2013-09-03,9490,9350,9490,9330,146284
2013-09-04,9350,8920,9350,8900,609664
2013-09-05,8960,8850,9050,8750,284804
2013-09-06,8820,8410,8920,8390,666991
2013-09-09,8410,8080,8490,7980,818183
2013-09-10,8100,8080,8140,7670,626307
2013-09-11,8120,8320,8320,8010,529541
2013-09-12,8320,8410,8570,8190,542320
2013-09-13,8410,8220,8470,8150,313063
2013-09-16,8310,7790,8310,7790,391178
2013-09-17,7810,7700,7850,7680,184614
2013-09-23,7680,7800,8070,7660,186035
2013-09-24,7810,8080,8100,7780,162034
2013-09-25,8120,8080,8270,8020,180752
2013-09-26,8080,8370,8470,8080,511779
2013-09-27,8470,8680,8890,8430,635051
2013-09-30,8680,8440,8740,8370,182479
2013-10-01,8420,8280,8530,8190,182220
2013-10-02,8320,8230,8410,8220,73262
2013-10-04,8200,8010,8200,7990,186246
2013-10-07,7950,7770,8080,7770,205586
2013-10-08,7890,7850,8070,7590,248641
2013-10-10,7780,7670,7920,7610,233538
2013-10-11,7860,8160,8210,7680,444563
2013-10-14,8130,8420,8450,8040,401644
2013-10-15,8410,8090,8410,8060,498685
2013-10-16,8090,7830,8110,7800,249112
2013-10-17,7900,7630,7940,7590,302616
2013-10-18,7610,7800,7820,7600,165847
2013-10-21,7850,7700,7900,7670,153353
2013-10-22,7750,7940,7950,7660,163747
2013-10-23,8020,7710,8030,7710,184197
2013-10-24,7670,7750,7780,7670,86714
2013-10-25,7840,8250,8330,7720,626795
2013-10-28,8250,8440,8520,8160,514641
2013-10-29,8510,8500,8630,8350,353842
2013-10-30,8530,8500,8650,8430,183704
2013-10-31,8570,8440,8570,8270,211483
2013-11-01,8350,8440,8540,8350,200022
2013-11-04,8450,8400,8450,8290,93348
2013-11-05,8410,8120,8450,8100,119543
2013-11-06,8120,8090,8440,7950,295225
2013-11-07,8100,8000,8160,7810,152252
2013-11-08,7970,8150,8280,7910,129673
2013-11-11,8180,8250,8290,8140,204095
2013-11-12,8250,8360,8460,8250,274992
2013-11-13,8380,8430,8480,8260,243977
2013-11-14,8500,8430,8500,8340,212340
2013-11-15,8540,8690,8970,8480,772863
2013-11-18,8800,8880,8940,8660,291164
2013-11-19,8900,8750,9020,8650,536120
2013-11-20,8720,8720,8720,8500,210674
2013-11-21,8640,8770,8770,8560,111922
2013-11-22,8710,8950,8950,8710,262255
2013-11-25,8950,9000,9060,8870,298051
2013-11-26,9000,8990,9080,8880,165677
2013-11-27,8950,8950,9050,8880,139746
2013-11-28,8900,8700,9020,8560,638347
2013-11-29,8750,8800,8830,8570,280959
2013-12-02,8840,8800,8860,8710,223795
2013-12-03,8780,8750,8810,8680,83002
2013-12-04,8650,8740,8780,8600,165200
2013-12-05,8690,8700,8750,8600,104890
2013-12-06,8620,8430,8710,8430,124001
2013-12-09,8550,8070,8550,8070,188902
2013-12-10,8180,8380,8450,8140,230008
2013-12-11,8420,8500,8560,8320,154989
2013-12-12,8400,8610,8640,8400,132204
2013-12-13,8620,8580,8620,8430,85466
2013-12-16,8590,8500,8590,8290,146481
2013-12-17,8450,8370,8510,8300,122045
2013-12-18,8270,8370,8430,8270,125560
2013-12-19,8430,8340,8480,8160,204839
2013-12-20,8370,8240,8400,8130,144864
2013-12-23,8220,7950,8270,7950,340466
2013-12-24,8010,8030,8130,7950,182012
2013-12-26,8130,7980,8130,7940,563570
2013-12-27,8020,8250,8260,8020,581040
2013-12-30,8200,8150,8230,8040,196349
2014-01-02,8140,8180,8220,7980,157473
2014-01-03,8160,8130,8200,8070,96294
2014-01-06,8190,8170,8210,8080,88105
2014-01-07,8140,8280,8280,8080,156942
2014-01-08,8370,8790,8900,8290,538135
2014-01-09,8850,8800,9020,8790,643816
2014-01-10,8900,9000,9090,8770,571420
2014-01-13,8930,9050,9100,8860,290402
2014-01-14,9030,9200,9320,8950,559186
2014-01-15,9200,9420,9470,9060,903947
2014-01-16,9470,9700,9700,9430,802592
2014-01-17,9600,9400,9690,9350,540366
2014-01-20,9450,9290,9450,9180,333102
2014-01-21,9250,9200,9320,9160,242190
2014-01-22,9200,9270,9340,9120,175390
2014-01-23,9250,9060,9300,8990,345308
2014-01-24,9040,9000,9090,8900,168732
2014-01-27,8790,8700,8790,8350,270571
2014-01-28,8780,8990,9110,8660,345295
2014-01-29,9050,9280,9280,9040,210264
2014-02-03,9190,9280,9330,9170,121166
2014-02-04,9100,9180,9250,8950,222297
2014-02-05,9290,9410,9610,9250,397207
2014-02-06,9510,9630,9750,9500,490409
2014-02-07,9750,9770,9880,9600,440212
2014-02-10,9800,9680,9830,9580,236357
2014-02-11,9680,9770,9980,9490,405455
2014-02-12,9850,9600,9880,9330,253699
2014-02-13,9540,9690,9870,9540,280914
2014-02-14,9690,9750,9830,9620,158701
2014-02-17,9830,9790,9950,9750,201421
2014-02-18,9800,9750,9940,9620,166839
2014-02-19,9750,9770,9880,9660,107126
2014-02-20,9770,9730,9810,9540,197510
2014-02-21,9660,9790,9820,9480,240799
2014-02-24,9860,10400,10900,9830,1973962
2014-02-25,10500,10750,10800,10400,747691
2014-02-26,10950,11200,11400,10850,1228145
2014-02-27,11200,11350,11350,10850,845519
2014-02-28,11150,10850,11200,10800,877129
2014-03-03,10850,11100,11100,10650,504118
2014-03-04,10900,11200,11300,10900,568427
2014-03-05,11250,11100,11300,10850,437930
2014-03-06,11100,11300,11300,10750,620893
2014-03-07,11300,11500,11750,11150,729788
2014-03-10,11500,11300,11550,11200,275702
2014-03-11,11350,11300,11450,11100,220036
2014-03-12,11300,11200,11300,10900,360295
2014-03-13,11250,11900,11950,11250,1015125
2014-03-14,11900,11750,12300,11750,913288
2014-03-17,11650,10750,11800,10200,1247690
2014-03-18,10900,11150,11150,10550,629237
2014-03-19,11200,11250,11250,10800,378713
2014-03-20,11050,11350,11350,10900,312212
2014-03-21,11350,11800,11950,11200,497491
2014-03-24,12100,11750,12350,11400,773384
2014-03-25,11600,11300,11950,10950,705220
2014-03-26,11250,11450,11550,11100,258380
2014-03-27,11350,11200,11500,11000,259231
2014-03-28,11350,11250,11400,10700,530191
2014-03-31,11200,10700,11250,10700,447549
2014-04-01,10750,10750,11000,10700,260910
2014-04-02,10850,11150,11250,10750,457244
2014-04-03,11250,10900,11250,10900,333397
2014-04-04,11000,10850,11050,10750,329570
2014-04-07,10700,10300,10750,10100,751088
2014-04-08,10300,10550,10600,9990,632374
2014-04-09,10550,10250,10600,10250,390988
2014-04-10,10600,11050,11100,10600,1026651
2014-04-11,10650,10850,10950,10550,784542
2014-04-14,10850,11100,11250,10750,622078
2014-04-15,11150,10850,11200,10850,332750
2014-04-16,11100,11050,11450,11050,1192670
2014-04-17,11200,11300,11300,10750,811355
2014-04-18,11250,11250,11400,11050,334651
2014-04-21,11250,11250,11250,10950,277834
2014-04-22,11300,11350,11500,11050,352096
2014-04-23,11400,11250,11550,11250,420335
2014-04-24,11350,11100,11350,10800,431736
2014-04-25,11050,11100,11150,10800,231116
2014-04-28,11050,11350,11350,10950,344652
2014-04-29,11350,11250,11450,11050,438857
2014-04-30,11250,11000,11400,10950,383417
2014-05-02,11050,10600,11100,10550,428478
2014-05-07,10650,10400,10650,10350,248585
2014-05-08,10550,10700,10800,10450,354376
2014-05-09,10700,10900,10950,10550,306748
2014-05-12,11000,10800,11100,10750,214461
2014-05-13,10850,10450,10850,10450,358591
2014-05-14,10650,10600,10750,10350,265932
2014-05-15,10650,10700,11000,10550,317049
2014-05-16,10650,10500,10700,10400,282028
2014-05-19,10600,11350,11350,10500,965807
2014-05-20,11550,11400,11550,11150,802400
2014-05-21,11500,11750,11950,11450,1326980
2014-05-22,11850,11750,11900,11600,623314
2014-05-23,11900,11850,11950,11650,672244
2014-05-26,11850,12000,12150,11700,978082
2014-05-27,12100,11900,12450,11900,1326313
2014-05-28,11900,12150,12300,11600,1382681
2014-05-29,12050,12600,12800,11850,980560
2014-05-30,12500,12550,12800,12300,661216
2014-06-02,12600,12700,12750,12300,690890
2014-06-03,12850,12100,12950,11950,920999
2014-06-05,12200,12000,12200,11800,531289
2014-06-09,12150,12250,12300,11900,498436
2014-06-10,12200,12150,12350,12000,352542
2014-06-11,12200,11800,12200,11800,559235
2014-06-12,11750,11850,11900,11350,968098
2014-06-13,11900,11900,12250,11850,803996
2014-06-16,11750,11750,11900,11500,330409
2014-06-17,11650,11800,11800,11550,282405
2014-06-18,11750,11750,12200,11700,632019
2014-06-19,11850,11600,11850,11400,428786
2014-06-20,11700,12050,12150,11700,683933
2014-06-23,12150,11750,12300,11750,791159
2014-06-24,11700,11150,11700,11050,930589
2014-06-25,11200,11000,11400,10850,569928
2014-06-26,11050,11050,11250,10900,484724
2014-06-27,11000,11300,11300,10750,834133
2014-06-30,11350,11700,11800,11250,767701
2014-07-01,11750,11900,12000,11600,407559
2014-07-02,11950,11850,12000,11750,359850
2014-07-03,11850,12400,12400,11800,781598
2014-07-04,12400,12400,12500,12150,452106
2014-07-07,12400,12250,12650,12200,485794
2014-07-08,12300,12650,12700,12100,589539
2014-07-09,12600,12700,12900,12550,455334
2014-07-10,12800,12500,13100,12250,763160
2014-07-11,12450,12900,13000,12300,635034
2014-07-14,13100,13400,13700,13000,1069706
2014-07-15,13450,13050,13500,13050,470161
2014-07-16,13000,12650,13000,12400,650347
2014-07-17,12700,12800,12950,12650,361459
2014-07-18,12550,12600,12850,12500,386420
2014-07-21,13000,13000,13400,12800,947540
2014-07-22,13050,13300,13350,12850,641123
2014-07-23,13350,13250,13650,13150,656708
2014-07-24,13350,13700,13700,13200,1002859
2014-07-25,13700,13250,13700,13100,600241
2014-07-28,13100,12600,13100,12100,1213215
2014-07-29,12700,12650,12800,12050,672443
2014-07-30,12750,12550,12950,12500,499957
2014-07-31,12550,12700,12800,12150,382840
2014-08-01,12450,12550,12700,12400,152661
2014-08-04,12550,12000,12550,11850,651867
2014-08-05,12050,11900,12200,11800,425167
2014-08-06,11900,12000,12100,11650,349059
2014-08-07,11950,11950,12450,11850,511460
2014-08-08,12050,11750,12250,11700,479042
2014-08-11,11850,12150,12250,11750,362339
2014-08-12,12250,12850,12950,12250,835243
2014-08-13,12900,12900,13000,12750,422170
2014-08-14,12950,12800,12950,12500,581120
2014-08-18,12850,12450,12850,12350,368416
2014-08-19,12450,12350,12600,12200,447654
2014-08-20,12350,12200,12500,12050,302348
2014-08-21,12250,12200,12450,12200,261738
2014-08-22,12300,12600,12650,12250,383199
2014-08-25,12500,11700,12500,11350,912440
2014-08-26,11950,12000,12100,11900,389119
2014-08-27,12100,11400,12100,11300,620161
2014-08-28,11350,11500,11700,11050,649565
2014-08-29,11500,11600,11700,11350,204294
2014-09-01,11650,11600,11850,11500,134943
2014-09-02,11550,11200,11650,11100,263447
2014-09-03,11200,10650,11450,10600,586756
2014-09-04,10700,11000,11050,10450,702894
2014-09-05,11100,11500,11700,11000,411554
2014-09-11,11850,11850,12150,11650,411857
2014-09-12,11850,11900,12050,11650,226626
2014-09-15,11900,12300,12400,11700,333853
2014-09-16,12400,12250,12500,12100,292536
2014-09-17,12450,12450,12650,12250,235464
2014-09-18,12550,12050,12550,12000,206690
2014-09-19,11950,12000,12100,11800,226721
2014-09-22,12000,11900,12350,11900,173112
2014-09-23,11900,11650,12000,11550,235563
2014-09-24,11650,12400,12500,11650,480588
2014-09-25,12550,12700,12700,12350,459743
2014-09-26,12650,12550,12750,12500,269299
2014-09-29,12600,12700,12850,12500,324606
2014-09-30,12700,12950,12950,12600,319387
2014-10-01,12900,12800,13000,12550,291094
2014-10-02,12650,12900,12900,12300,340049
2014-10-06,12950,12900,13100,12600,384524
2014-10-07,12900,12850,12950,12600,218269
2014-10-08,12650,12300,12800,12300,281346
2014-10-10,12200,11900,12200,11450,463104
2014-10-13,11850,11500,11950,11400,185700
2014-10-14,11500,12150,12150,11350,205984
2014-10-15,12050,12050,12450,11750,251706
2014-10-16,12000,12650,12750,11700,377771
2014-10-17,12800,13900,13900,12700,2110709
2014-10-20,14150,14400,14600,14000,2011935
2014-10-21,14300,14600,14600,13950,1056630
2014-10-22,14750,15150,15200,14500,1023610
2014-10-23,15300,15300,15800,15000,877264
2014-10-24,15550,15150,15800,15100,658317
2014-10-27,15300,15100,15650,15050,435750
2014-10-28,15150,14750,15250,14450,875918
2014-10-29,14750,14750,14900,14200,914374
2014-10-30,14550,14600,14800,14150,426022
2014-10-31,14650,14800,15350,14400,800866
2014-11-03,14800,14700,14850,14250,485333
2014-11-04,14550,14400,14600,14200,579628
2014-11-05,14250,13350,14500,13300,963520
2014-11-06,13550,13250,13650,12950,868155
2014-11-07,13250,13400,13450,12900,546187
2014-11-10,13300,12700,13350,12550,822267
2014-11-11,12600,12850,12900,12550,465859
2014-11-12,12750,12350,12850,12100,658127
2014-11-13,12300,12050,12450,12000,489503
2014-11-14,12200,11650,12300,11650,623324
2014-11-17,11650,11950,12050,11400,769429
2014-11-18,11850,12050,12100,11500,610291
2014-11-19,12100,11550,12350,11500,718915
2014-11-20,11650,11650,11950,11600,419972
2014-11-21,11700,11150,11800,10800,1080812
2014-11-24,11250,10950,11250,10700,698478
2014-11-25,11000,11050,11300,10800,540533
2014-11-26,11100,11550,11700,10950,1002749
2014-11-27,11750,11700,11900,11600,524874
2014-11-28,11800,11750,11950,11500,284334
2014-12-01,11650,11600,11800,11500,200631
2014-12-02,11450,11100,11600,11050,386593
2014-12-03,11100,11350,11500,10950,273964
2014-12-04,11400,11900,12100,11300,712699
2014-12-05,11800,11900,12050,11750,376800
2014-12-08,11850,11350,11950,11300,381938
2014-12-09,11450,11400,11600,11300,279066
2014-12-10,11350,11200,11550,11150,228877
2014-12-11,11150,10700,11300,10600,390282
2014-12-12,10750,10650,10800,10000,473003
2014-12-15,10400,10200,10500,10100,371196
2014-12-16,10100,9720,10350,9690,569192
2014-12-17,9720,9930,10100,9700,469517
2014-12-18,10100,10650,10700,9970,618336
2014-12-19,10800,10750,10950,10550,314596
2014-12-22,10850,10900,11050,10600,331885
2014-12-23,10800,10450,10850,10300,311351
2014-12-24,10450,10300,10450,10150,226025
2014-12-26,10400,10850,10900,10300,299550
2014-12-29,10900,11200,11250,10850,271344
2014-12-30,11100,11300,11350,11000,198837
2015-01-02,11300,11250,11400,11100,115773
2015-01-05,11200,11650,11700,11150,403407
2015-01-06,11700,11850,11950,11550,543132
2015-01-07,11850,12000,12000,11600,286535
2015-01-08,12000,12150,12250,11850,413622
2015-01-09,12250,12200,12600,12150,708767
2015-01-12,12100,11900,12250,11700,416093
